Feature,59602
魔毯智能悬架,●
高精地图,●
高度(mm),1850
高压快充,支持
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,
驱动电机数,双电机
驱动方式,
风阻系数(Cd),0.215
隐藏电动门把手,●
陡坡缓降,●
长度(mm),5350
长*宽*高(mm),5350*1965*1850
钥匙类型,
遥控泊车,●
道路救援呼叫,●
道路交通标识识别,●
透明底盘/540度影像,●
远程启动功能,
远程召唤,●
远光灯光源,
近光灯光源,
辅助驾驶芯片,
辅助驾驶系统,
辅助驾驶等级,
轴距(mm),3300
轮圈材质,
转向辅助灯,●
车门数(个),
车门开启方式,平开门+侧滑门
车道居中保持,●
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,●
车载冰箱,●
车载KTV,●
车身结构_y,MPV
车身结构_x,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车窗一键升降功能,
车机系统存储(GB),
车机系统内存(GB),
车机智能芯片,
车型名称,理想MEGA 2024款 Ultra
车前雾灯,-
车内香氛装置,●
车内环境氛围灯,
车内摄像头数量,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
超声波雷达数量,
起步提醒,●
负离子发生器,●
语音连续识别,●
语音识别控制系统,
语音助手唤醒词,
语音分区域唤醒识别,
语音免唤醒词,●
记忆泊车,●
行车电脑显示屏幕,
行李厢12V电源接口,●
蓝牙/车载电话,●
芯片总算力,
自适应远近光,●
自动驾驶辅助路段,
自动驻车,●
自动泊车入位,●
自动头灯,●
自动变道辅助,●
能量回收系统,●
能源类型,纯电动
胎压监测功能,
级别,大型MPV
简称,电动车单速变速箱
第二排独立座椅,●
第二排座椅调节,
第二排座椅电动调节,●
第二排座椅功能,
第三排座椅调节,
第三排座椅电动调节,●
第三排座椅功能,
空调温度控制方式,
空气质量监测,●
空气悬架,●
离去角(°),15
百公里耗电量(kWh/100km),15.9
疲劳驾驶提示,●
电芯品牌,
电能当量燃料消耗量(L/100km),1.8
电池预加热,●
电池能量(kWh),102.7
电池类型,
电池冷却方式,液冷
电机类型,前感应/异步 后永磁/同步
电机布局,前置+后置
电动机总马力(Ps),544
电动机总扭矩(N·m),542
电动机总功率(kW),400
电动机(Ps),544
电动座椅记忆功能,
电动后备厢位置记忆,●
电动后备厢,●
环视摄像头像素,
环境感知摄像头像素,
牵引力控制(ASR/TCS/TRC等),●
热泵空调,●
激光雷达线数,
激光雷达点云数量,
激光雷达数量,
激光雷达型号,
激光雷达品牌,
激光雷达10%反射率探测距离,
温度分区控制,●
液晶仪表尺寸,
毫米波雷达数量,
杜比全景声(Dolby Atmos),●
最高车速(km/h),180
最大满载质量(kg),3400
最大扭矩(N·m),542
最大功率(kW),400
无钥匙进入功能,
无钥匙启动系统,●
方向盘记忆,●
方向盘离手检测,●
方向盘材质,
方向盘换挡,-
方向盘加热,●
方向盘位置调节,
整车质保,
整备质量(kg),2785
摄像头数量,
接近角(°),15
换挡形式,
挡位个数,1
扬声器数量,
扬声器品牌名称,-
手机无线充电功能,
手机无线充电功率,
手机互联/映射,-
手机APP远程功能,
手势控制,●
慢充接口位置,车左后侧
感应雨刷功能,
感应后备厢,●
快充接口位置,车左后侧
快充功能,支持
快充功率(kW),520
座椅材质,
座椅布局,
座位数(个),
应用商店,●
并线辅助,●
巡航系统,
屏幕刷新率[Hz],
导航路况信息显示,●
对外放电,●
对外交流放电功率(kW),3.5
宽度(mm),1965
官方0-100km/h加速(s),5.5
安全带未系提醒,
天窗类型,
大灯高度可调,●
大灯延时关闭,●
多层隔音玻璃,
多媒体/充电接口,
多功能方向盘,●
外后视镜功能,
备胎规格,-
声纹识别,●
地图品牌,
四驱形式,
哨兵模式/千里眼,●
后雨刷,-
后轮距(mm),1708
后轮胎规格,
后电动机最大扭矩(N·m),310
后电动机最大功率(kW),245
后电动机型号,TZ220XSG03
后电动机品牌,联合汽车电子
后方碰撞预警,●
后排独立空调,●
后排液晶屏幕类型,
后排液晶屏幕尺寸,
后排液晶屏幕分辨率,
后排液晶屏幕像素密度,
后排液晶屏幕,
后排杯架,●
后排控制多媒体,●
