Feature,1015565,1015566,1015567,1015568,1016350,1016351,1018282,1018283,1018284,1018285
高度(mm),2750,2750,2280,2280,2710,2710,2750,2750,2280,2280
驾驶辅助影像,,,,,-,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),5995,5995,5927,5927,5995,5995,5995,5995,5927,5927
长*宽*高(mm),5995×2022×2750,5995×2022×2750,5927*2022*2280,5927*2022*2280,5995*2040*2710,5995*2040*2710,5995×2022×2750,5995×2022×2750,5927*2022*2280,5927*2022*2280
钥匙类型,,,,,,,,,,
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
轴距(mm),3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
轮圈材质,,,,,,,,,,
车门数(个),,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,客车,客车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,客车,客车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,○,○,○,○,○,○,○,○,○,○
车窗一键升降功能,-,-,-,-,-,-,,,,
车型名称,依维柯欧胜新能源 2023款 运瑞 88.1kWh长轴高顶 手动门,依维柯欧胜新能源 2023款 运瑞 88.1kWh长轴高顶 侧拉门,依维柯欧胜新能源 2023款 88.1kWh长轴单排底盘,依维柯欧胜新能源 2023款 88.1kWh长轴双排底盘,依维柯欧胜新能源 2023款 88.1kWh长轴客车手动门,依维柯欧胜新能源 2023款 88.1kWh长轴客车侧拉门,依维柯欧胜新能源 2024款 运瑞 77.28kWh长轴高顶 手动门,依维柯欧胜新能源 2024款 运瑞 77.28kWh长轴高顶 侧拉门,依维柯欧胜新能源 2024款 77.28kWh长轴单排底盘,依维柯欧胜新能源 2024款 77.28kWh长轴双排底盘
车前雾灯,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3535x1825x1920,3535x1825x1920,-,-,-,-,3535x1760x1920,3535x1760x1920,-,-
语音识别控制系统,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,○,○,○,○,○,●,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,,,,,-,-,,
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,
离去角(°),12.3,12.3,11,11,11,11,12,12,13,13
