Feature,50058,62294
高度(mm),1475,1475
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱
首任车主质保政策,-,-
陡坡缓降,-,-
长度(mm),4980,4980
长*宽*高(mm),4980*1858*1475,4980*1858*1475
钥匙类型,,
配气机构,DOHC,DOHC
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
轴距(mm),2900,2900
轮圈材质,,
转向辅助灯,●,●
车门数(个),4,4
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,-,-
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,雪铁龙C6 2021款 400THP 舒适版,雪铁龙C6 2023款 400THP 纪念版
车前雾灯,,
车内环境氛围灯,-,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,,
语音分区域唤醒识别,-,
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,-,-
自动头灯,●,●
能源类型,汽油,汽油
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中型车,中型车
简称,8挡手自一体,8挡手自一体
第二排座椅调节,-,-
空调温度控制方式,,
离去角(°),19,19
疲劳驾驶提示,●,●
电动座椅记忆功能,-,-
电动后备厢,-,-
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,92号,92号
燃料形式,汽油,汽油
温度分区控制,●,●
液晶仪表尺寸,-,-
油箱容积(L),70,70
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),235,235
最大马力(Ps),211,211
最大满载质量(kg),2056,2056
最大扭矩转速(rpm),1900-4500,1900-4500
最大扭矩(N·m)_y,300,300
最大扭矩(N·m)_x,300,300
最大功率转速(rpm),5500,5500
最大功率(kW)_y,155,155
最大功率(kW)_x,155,155
最大净功率(kW),155,155
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,●,●
方向盘加热,-,-
方向盘位置调节,,
整车质保,三年或10万公里,三年或10万公里
整备质量(kg),1645,1645
接近角(°),14,14
排量(mL),1751,1751
换挡形式,,
挡位个数,8,8
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,,
感应雨刷功能,,
座椅材质,,
座位数(个),5,5
并线辅助,-,-
巡航系统,,
导航路况信息显示,-,-
宽度(mm),1858,1858
官方0-100km/h加速(s),-,-
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,●,●
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,无,无
四驱形式,-,-
后雨刷,-,-
后轮距(mm),1573,1573
后轮胎规格,225/55 R17,225/55 R17
后排独立空调,-,-
后排杯架,●,●
后排座椅放倒形式,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●
后备厢容积(L),409,409
后制动器类型,盘式,盘式
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体
发动机电子防盗,●,●
发动机特有技术,CVVT连续可变正时系统,CVVT连续可变正时系统
发动机布局,横置,横置
发动机型号,6G03,6G03
发动机启停技术,●,●
发动机,1.8T 211马力 L4,1.8T 211马力 L4
厂商指导价(元),22.68万,23.68万
厂商,东风雪铁龙,东风雪铁龙
卫星导航系统,-,-
助力类型,电子液压助力,电子液压助力
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),1599,1599
前轮胎规格,225/55 R17,225/55 R17
前排座椅功能,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内后视镜功能,,
全液晶仪表盘,-,-
供油方式,直喷,直喷
主座椅调节方式,,
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
中央差速器结构,-,-
上市时间,2021.03,2023.04
上坡辅助,●,●
USB/Type-C接口数量,,
OTA升级,-,-
NEDC综合油耗(L/100km),6.4,6.4
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
ABS防抱死,●,●
