Feature,59000,59001,59009,59010,59011,59012,59013,59014,59015,59016,62928,62929,62930,62931,62932,64686,64687,64688,64689,64690,64691
高度(mm),1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758
驾驶辅助影像,,,,,-,-,,,,,-,,,,,,,,,,
驾驶模式切换,,,,,-,-,,,,,-,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825
长*宽*高(mm),4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758,4825*1870*1758
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●
远程启动功能,,,,,-,-,,,,,-,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,,,-,-,-,-,-,,,-,-,-,,,,,,,,
轴距(mm),2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,●,●,-,-,-,-,-,●,●,-,-,-,●,●,●,●,●,●,●,●
车道保持辅助系统,-,●,●,-,-,-,-,-,●,●,-,-,-,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,-,-,,,,,-,,,,,,,,,,
车载KTV,●,●,●,●,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,
车型名称,思皓X8 PLUS 2023款 1.5TGDI DCT智家版 7座,思皓X8 PLUS 2023款 1.5TGDI DCT智尚版 6座,思皓X8 PLUS 2023款 1.5TGDI DCT智尚版 7座,思皓X8 PLUS 2023款 1.5TGDI DCT智家版 6座,思皓X8 PLUS 2023款 1.5TGDI 手动智行版 6座,思皓X8 PLUS 2023款 1.5TGDI 手动智行版 7座,思皓X8 PLUS 2023款 1.5TGDI DCT智享版 6座,思皓X8 PLUS 2023款 1.5TGDI DCT智享版 7座,思皓X8 PLUS 2023款 1.5TGDI DCT智旅版 6座,思皓X8 PLUS 2023款 1.5TGDI DCT智旅版 7座,思皓X8 PLUS 2023款 1.5TGDI 手动智行版 5座,思皓X8 PLUS 2023款 1.5TGDI DCT智家版 5座,思皓X8 PLUS 2023款 1.5TGDI DCT智享版 5座,思皓X8 PLUS 2023款 1.5TGDI DCT智旅版 5座,思皓X8 PLUS 2023款 1.5TGDI DCT智尚版 5座,思皓X8 PLUS 2023款 1.5TGDI DCT智尊版 5座,思皓X8 PLUS 2023款 1.5TGDI DCT智尊版 6座,思皓X8 PLUS 2023款 1.5TGDI DCT智尊版 7座,思皓X8 PLUS 2023款 1.5TGDI DCT旗舰版 5座,思皓X8 PLUS 2023款 1.5TGDI DCT旗舰版 6座,思皓X8 PLUS 2023款 1.5TGDI DCT旗舰版 7座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,●,●,-,-,-,-,-,●,●,-,-,-,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,-,-,,,,,-,,,,,,,,,,
语音免唤醒词,●,●,●,●,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
