Feature,67783,67784,67787
高度(mm),1625,1625,1620
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,双电机,单电机
驱动方式,,,
风阻系数(Cd),-,-,-
面部识别,●,●,●
隐藏电动门把手,●,●,●
陡坡缓降,●,●,●
长度(mm),4785,4785,4785
长*宽*高(mm),4785*1930*1625,4785*1930*1625,4785*1930*1620
钥匙类型,,,
配气机构,DOHC,DOHC,-
遥控泊车,●,●,●
道路救援呼叫,●,●,●
道路交通标识识别,●,●,●
透明底盘/540度影像,●,●,●
远程启动功能,,,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,-
近光灯光源,,,
辅助驾驶系统,,,
辅助驾驶等级,,,
轴距(mm),2880,2880,2880
轮圈材质,,,
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,●,●,●
车载智能系统,,,
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车机系统存储(GB),,,
车机系统内存(GB),,,
车机智能芯片,,,
车型名称,问界M5 2024款 增程 Max 后驱高阶智驾版,问界M5 2024款 增程 Max RS 四驱高阶智驾版,问界M5 2024款 纯电 Max 后驱高阶智驾版
车前雾灯,-,-,-
车内香氛装置,●,●,●
车内环境氛围灯,,,
车内摄像头数量,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
负离子发生器,●,●,●
语音连续识别,●,●,●
语音识别控制系统,,,
语音助手唤醒词,,,
语音分区域唤醒识别,,,
语音免唤醒词,●,●,●
记忆泊车,○,○,○
触摸式阅读灯,●,●,●
行车电脑显示屏幕,,,
行程(mm),88.32,88.32,-
行李厢12V电源接口,●,●,●
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驾驶辅助路段,,,
自动驻车,●,●,●
自动泊车入位,●,●,●
自动头灯,●,●,●
自动变道辅助,●,●,●
能量回收系统,●,●,●
能源类型_y,增程式,增程式,纯电动
能源类型_x,增程式,增程式,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,-
缸径(mm),73.5,73.5,-
缸体材料,铝合金,铝合金,-
级别,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
第二排座椅功能,,,
空载最小离地间隙(mm),175,175,170
空调温度控制方式,,,
空气质量监测,●,●,●
离去角(°),24,24,24
百公里耗电量(kWh/100km),19.3,20.8,-
疲劳驾驶提示,●,●,●
电芯品牌,,,
电能当量燃料消耗量(L/100km),2.18,2.35,-
电池预加热,●,●,●
电池能量(kWh),42,42,83
电池类型,,,
电池慢充电量范围(%)_y,20-90,20-90,10-90
电池慢充电量范围(%)_x,20-90,20-90,10-90
电池慢充时间(小时)_y,5,5,10.5
电池慢充时间(小时)_x,5,5,10.5
电池快充电量范围(%)_y,20-80,20-80,30-80
电池快充电量范围(%)_x,20-80,20-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5
