Feature,1015456,1015457,1015459,1015460,1015461,1015462,1015464,1015465,1015466,1015467,1015780,1016196,1016284,1016285,1017537,1017538,1017539,1017540,1017541,1017542,1017543,1017544,1018422,1018423,1018424,1018428,1018429,1018430
高度(mm),1831,1831,1831,1831,1831,1831,1831,1831,1831,1849,1831,1831,1880,1880,1808,1808,1808,1808,1808,1808,1808,1808,1831,1831,1831,2060,2085,2085
驾驶辅助影像,-,,,,-,,,,,,,,-,,-,,,-,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防侧翻系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,●,●,-,-,-,-,-,-
长度(mm),5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5300,5300,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266,5266
长*宽*高(mm),5266*1850*1831,5266*1850*1831,5266*1850*1831,5266*1850*1831,5266*1850*1831,5266*1850*1831,5266*1850*1831,5266*1850*1831,5266*1850*1831,5266*1850*1849,5266*1850*1831,5266*1850*1831,5300*1900*1880,5300*1900*1880,5266*1850*1808,5266*1850*1808,5266*1850*1808,5266*1850*1808,5266*1850*1808,5266*1850*1808,5266*1850*1808,5266*1850*1808,5266*1850*1831,5266*1850*1831,5266*1850*1831,5266*1850*2060,5266*1850*2085,5266*1850*2085
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,-,-,-,-,●,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,
