Feature,62548,62549,62661,68387,68388,68389
高度(mm),1698,1648,1678,1698,1678,1648
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●
限滑差速器/差速锁,-,,-,-,-,
长度(mm),4930,4932,4930,4930,4930,4932
长*宽*高(mm),4930*1983*1698,4932*1995*1648,4930*1983*1678,4930*1983*1698,4930*1983*1678,4932*1995*1648
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,○
道路救援呼叫,-,-,-,●,●,●
道路交通标识识别,○,○,○,●,●,●
远光灯光源,,,,,,
进气形式,涡轮增压,双涡轮增压,涡轮增压,涡轮增压,涡轮增压,双涡轮增压
近光灯光源,,,,,,
运动风格座椅,○,●,●,○,●,●
辅助驾驶等级,,,,,,
辅助泊车入位,○,●,○,●,●,●
轴距(mm),2895,2895,2895,2895,2895,2895
轮圈材质,,,,,,
转向头灯,○,●,○,○,○,●
车顶行李架,○,-,-,○,-,-
车门数(个),,,,,,
车门开启方式,平开门,-,平开门,平开门,平开门,-
车道居中保持,○,○,○,○,○,○
车道偏离预警系统,○,○,○,●,●,●
车道保持辅助系统,○,○,○,●,●,●
车载空气净化器,●,●,●,●,●,●
车身结构_y,SUV,SUV跨界车,SUV跨界车,SUV,SUV跨界车,SUV跨界车
车身结构_x,5门5座SUV,5门4座SUV跨界车,5门4座SUV跨界车,5门5座SUV,5门4座SUV跨界车,5门4座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车库门遥控装置,○,○,○,○,○,○
车型名称,Cayenne 2024款 Cayenne 3.0T,Cayenne 2024款 Cayenne Coupé Turbo GT 4.0T,Cayenne 2024款 Cayenne Coupé 3.0T,Cayenne 2025款 Cayenne 3.0T,Cayenne 2025款 Cayenne Coupé 3.0T,Cayenne 2025款 Cayenne Coupé Turbo GT 4.0T
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
负离子发生器,●,●,●,●,●,●
语音识别控制系统,,,,,,
语音分区域唤醒识别,,,,,,
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
膝部气囊,,,,,,
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,,,,,,
第二排座椅功能,,,,,,
空调温度控制方式,,,,,,
