Feature,64404,64496,64497,64498,64499,66050,66051
高度(mm),1760,1760,1760,1760,1760,1760,1760
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,双电机,单电机,双电机,单电机,双电机,单电机,单电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
面部识别,●,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●
长度(mm),5020,5020,5020,5020,5020,5020,5020
长*宽*高(mm),5020*1945*1760,5020*1945*1760,5020*1945*1760,5020*1945*1760,5020*1945*1760,5020*1945*1760,5020*1945*1760
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,-,-,-,●,●,●
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶系统,,-,-,-,,,
辅助驾驶等级,,,,,,,
轴距(mm),2820,2820,2820,2820,2820,2820,2820
轮圈材质,,,,,,,
车顶行李架,●,●,●,●,●,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●
车载智能系统,,,,,,,
车载KTV,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门5座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机系统存储(GB),,,,,,,
车机系统内存(GB),,,,,,,
车机智能芯片,,,,,,,
车型名称,问界M7 2024款 1.5T 智驾四驱Max版 5座,问界M7 2024款 1.5T 后驱Plus版 5座,问界M7 2024款 1.5T 四驱Plus版 5座,问界M7 2024款 1.5T 后驱Plus版 6座,问界M7 2024款 1.5T 智驾四驱Max版 6座,问界M7 2024款 1.5T 智驾后驱Max版 5座,问界M7 2024款 1.5T 智驾后驱Max版 6座
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●,●
车内环境氛围灯,,,,,,,
车内摄像头数量,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车侧脚踏板,,,,,,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
负离子发生器,●,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●
记忆泊车,●,-,-,-,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
行程(mm),88.32,88.32,88.32,88.32,88.32,88.32,88.32
行李厢12V电源接口,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驾驶辅助路段,,-,-,-,,,
自动驻车,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
自动变道辅助,●,-,-,-,●,●,●
能量回收系统,●,●,●,●,●,●,●
能源类型_y,增程式,增程式,增程式,增程式,增程式,增程式,增程式
能源类型_x,增程式,增程式,增程式,增程式,增程式,增程式,增程式
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),73.5,73.5,73.5,73.5,73.5,73.5,73.5
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,●,●,-,●
第二排座椅调节,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●
第二排座椅功能,,,,,,,
第三排座椅调节,-,-,-,,,-,
空调温度控制方式,,,,,,,
离去角(°),22,22,22,22,22,22,22
百公里耗电量(kWh/100km),24,23,24,23,24,23,23
疲劳驾驶提示,●,●,●,●,●,●,●
电芯品牌,,,,,,,
电池预加热,●,●,●,●,●,●,●
电池能量(kWh),40,40,40,40,40,40,40
电池类型,,,,,,,
电池慢充电量范围(%)_y,20-90,20-90,20-90,20-90,20-90,20-90,20-90
电池慢充电量范围(%)_x,20-90,20-90,20-90,20-90,20-90,20-90,20-90
电池慢充时间(小时)_y,5,5,5,5,5,5,5
电池慢充时间(小时)_x,5,5,5,5,5,5,5
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,后置,前置+后置,后置,前置+后置,后置,后置
电动机总扭矩(N·m),660,360,660,360,660,360,360
电动机总功率(kW),330,200,330,200,330,200,200
电动机总功率(Ps),449,272,449,272,449,272,272
电动机(Ps),449,272,449,272,449,272,272
电动座椅记忆功能,,,,,,,
电动吸合车门,,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号
激光雷达线数,,-,-,-,,,
激光雷达点云数量,,-,-,-,,,
激光雷达数量,,-,-,-,,,
激光雷达品牌,,-,-,-,,,
激光雷达10%反射率探测距离,,-,-,-,,,
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,
油箱容积(L),60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
毫米波雷达数量,,,,,,,
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),190,190,190,190,190,190,190
最大马力(Ps),152,152,152,152,152,152,152
最大满载质量(kg),2910,2820,2910,2820,2910,2820,2820
最大扭矩转速(rpm),4000,4000,4000,4000,4000,4000,4000
最大扭矩(N·m)_y,216,216,216,216,216,216,216
最大扭矩(N·m)_x,660,360,660,360,660,360,360
最大功率转速(rpm),5400,5400,5400,5400,5400,5400,5400
最大功率(kW)_y,112,112,112,112,112,112,112
最大功率(kW)_x,330,200,330,200,330,200,200
最大净功率(kW),110,110,110,110,110,110,110
最低荷电状态油耗(L/100km),7.45,6.85,7.45,6.85,7.45,6.85,6.85
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,
整车质保,,,,,,,
整备质量(kg),2460,2370,2460,2370,2460,2370,2370
摄像头数量,,,,,,,
接近角(°),19,19,19,19,19,19,19
排量(mL),1499,1499,1499,1499,1499,1499,1499
换挡形式,,,,,,,
挡位个数,1,1,1,1,1,1,1
扬声器数量,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-
手机无线充电功能,,,,,,,
手机无线充电功率,,,,,,,
手机互联/映射,,,,,,,
手机APP远程功能,,,,,,,
慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,,,,,
快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),100,100,100,100,100,100,100
座椅材质,,,,,,,
座椅布局,-,-,-,,,-,
座位数(个),,,,,,,
应用商店,●,●,●,●,●,●,●
并线辅助,●,●,●,●,●,●,●
巡航系统,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●
对外交流放电功率(kW),3.5,3.5,3.5,3.5,3.5,3.5,3.5
宽度(mm),1945,1945,1945,1945,1945,1945,1945
官方0-50km/h加速(s),2.2,3.6,2.2,3.6,2.2,3.6,3.6
官方0-100km/h加速(s),4.8,7.8,4.8,7.8,4.8,7.8,7.8
安全带未系提醒,,,,,,,
天窗类型,,,,,,,
大灯高度可调,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,
多媒体/充电接口,,,,,,,
多功能方向盘,●,●,●,●,●,●,●
外后视镜功能,,,,,,,
备胎规格,,,,,,,
地图品牌,,,,,,,
四驱形式,,-,,-,,-,-
哨兵模式/千里眼,●,-,-,-,●,●,●
后雨刷,●,●,●,●,●,●,●
后轮距(mm),1650,1650,1650,1650,1650,1650,1650
后轮胎规格,,,,,,,
后电动机最大扭矩(N·m),360,360,360,360,360,360,360
后电动机最大功率(kW),200,200,200,200,200,200,200
