Feature,1011414,1012925,1012928,1012930,1013475,1013476,1013477,1013478,1014878,1014879,1014880,1014881,1014882,1014883,1014884,1014885,1015723,1015724,1015929,1015930,1015931,1015932,1017024,1017025,1017026,1017027,1017028,1017029,1017030,1017031,1017431,1017432
高度(mm),1910,1965,1965,1910,1965,1965,1910,1910,1910,1910,1910,1910,1965,1965,1965,1965,1910,1910,1910,1910,1965,1965,1910,1910,1910,1910,1965,1965,1965,1965,1965,1965
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,●,●,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,-,-
限滑差速器/差速锁,-,,,-,-,-,-,-,,,,,,,,,,,-,,-,,-,-,,,,,-,-,-,-
长度(mm),5692,5393,5393,5692,5393,5393,5692,5692,5792,5792,5792,5792,5440,5440,5440,5440,5792,5792,5692,5692,5393,5393,5692,5692,5792,5792,5393,5393,5393,5393,5393,5393
长*宽*高(mm),5692×2045×1910,5393×2045×1965,5393×2045×1965,5692×2045×1910,5393×2045×1965,5393×2045×1965,5692×2045×1910,5692×2045×1910,5792*2045*1910,5792*2045*1910,5792*2045*1910,5792*2045*1910,5440*2045*1965,5440*2045*1965,5440*2045*1965,5440*2045*1965,5792*2045*1910,5792*2045*1910,5692×2045×1910,5692×2045×1910,5393×2045×1965,5393×2045×1965,5692×2045×1910,5692×2045×1910,5792*2045*1910,5792*2045*1910,5393*2045*1965,5393*2045*1965,5393×2045×1965,5393×2045×1965,5393*2045*1965,5393*2045*1965
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3513,3230,3230,3513,3230,3230,3513,3513,3513,3513,3513,3513,3230,3230,3230,3230,3513,3513,3513,3513,3230,3230,3513,3513,3513,3513,3230,3230,3230,3230,-,-
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,中兴1949 2022款 2.3T商用版柴油手动四驱超豪华型大双,中兴1949 2022款 2.0T乘用版汽油自动四驱超豪华型标双,中兴1949 2022款 2.0T乘用版汽油自动两驱超豪华型标双,中兴1949 2022款 2.3T商用版柴油手动两驱超豪华型大双,中兴1949 2022款 2.0T乘用版汽油自动四驱豪华型标双,中兴1949 2022款 2.0T乘用版汽油自动两驱豪华型标双,中兴1949 2022款 2.3T商用版柴油手动两驱豪华型大双,中兴1949 2022款 2.3T商用版柴油手动四驱豪华型大双,中兴1949 2023款 2.3T商用版柴油自动两驱豪华型大双,中兴1949 2023款 2.3T商用版柴油自动四驱豪华型大双,中兴1949 2023款 2.3T商用版柴油自动两驱超豪华型大双,中兴1949 2023款 2.3T商用版柴油自动四驱超豪华型大双,中兴1949 2023款 2.3T乘用版柴油自动两驱豪华型标双,中兴1949 2023款 2.3T乘用版柴油自动四驱豪华型标双,中兴1949 2023款 2.3T乘用版柴油自动两驱超豪华型标双,中兴1949 2023款 2.3T乘用版柴油自动四驱超豪华型标双,中兴1949 2023款 2.3T商用版柴油自动两驱舒适型大双,中兴1949 2023款 2.3T商用版柴油自动四驱舒适型大双,中兴1949 2023款 2.3T公务版柴油手动两驱豪华型大双,中兴1949 2023款 2.3T公务版柴油手动四驱豪华型大双,中兴1949 2023款 2.0T公务版汽油自动两驱超豪华型标双,中兴1949 2023款 2.0T公务版汽油自动四驱超豪华型标双,中兴1949 2024款 2.3T商乘版柴油手动两驱舒适型长箱,中兴1949 2024款 2.3T商乘版柴油手动四驱舒适型长箱,中兴1949 2024款 2.3T商乘版柴油自动两驱舒适型长箱,中兴1949 2024款 2.3T商乘版柴油自动四驱舒适型长箱,中兴1949 2024款 2.3T乘用版柴油自动两驱舒适型标箱,中兴1949 2024款 2.3T乘用版柴油自动四驱舒适型标箱,中兴1949 2024款 2.0T乘用版汽油自动两驱舒适型标箱,中兴1949 2024款 2.0T乘用版汽油自动四驱舒适型标箱,中兴1949 2024款  2.3T乘用版柴油手动两驱豪华型标双,中兴1949 2024款  2.3T乘用版柴油手动四驱豪华型标双
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,,,,,,,,,,,,,,
车内环境氛围灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1810x1700x515,1530x1700x515,1530x1700x515,1810x1700x515,1530x1700x515,1530x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1530x1700x515,1530x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1810x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1530x1700x515,1530x1700x515
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
