Feature,38281,38522,38523,38524,38525,38526,39543,40597,40815,41263,42763,42915,42916,45724
高度(mm),1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,-,●,-,●,●,-,●,●,●,-,●,●,●
长度(mm),4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780
长*宽*高(mm),4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760,4780*1872*1760
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,●,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,●,-,-,●,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,●,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,-,●,●,●,●,●,●,●
车联网,●,-,●,●,●,●,-,●,●,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,风行T5L 2019款 1.6TD DCT尊享型 7座,风行T5L 2019款 1.8T 手动舒适型 7座,风行T5L 2019款 1.8T 手动豪华型 7座,风行T5L 2019款 1.5T CVT豪华型 7座,风行T5L 2019款 1.6TD DCT豪华型 7座,风行T5L 2019款 1.6TD DCT旗舰型 7座,风行T5L 2019款 1.8T 手动实用型 7座,风行T5L 2020款 1.5T 自动豪华型 7座 国VI,风行T5L 2020款 1.5T 自动旗舰型 7座 国VI,风行T5L 2020款 1.5T 自动豪华型 5座 国VI,风行T5L 2019款 1.5T CVT超豪型 7座,风行T5L 2020款 1.8T 手动舒适型 7座 国VI,风行T5L 2020款 1.8T 手动豪华型 7座 国VI,风行T5L 2020款 改款 1.5T 自动尊贵型 7座 国VI
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,●,-,-,●,-,-,-,-,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),85.8,85,85,84.8,85.8,85.8,85,82,82,82,84.8,85,85,82
行李厢容积(L),240-2370,240-2370,240-2370,240-2370,240-2370,240-2370,240-2370,240-2370,240-2370,780-2370,240-2370,240-2370,240-2370,240-2370
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,●,●,●,-,●,●,●,●,-,●,●
自适应远近光,-,-,-,-,-,●,-,-,●,-,-,-,-,-
自动驻车,●,●,●,●,●,●,-,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,●,-,-,●,-,-,-,-,-
自动头灯,-,●,●,●,-,●,-,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),77,82,82,75,77,77,82,75.5,75.5,75.5,75,82,82,75.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铸铁
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,7挡双离合,6挡手动,6挡手动,CVT无级变速,7挡双离合,7挡双离合,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,CVT无级变速,6挡手动,6挡手动,6挡手自一体
