Feature,61269,65720,65721,66079,70669,70728,70729,70730,70731
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),272,252,252,252,272,252,252,252,272
电动机总扭矩(N·m),360,360,360,360,360,360,360,360,360
电动机总功率(kW),200,185,185,185,200,185,185,185,200
电动机(Ps),272,252,252,252,272,252,252,252,272
电动座椅记忆功能,,-,,-,,-,,,
电动后备厢位置记忆,●,●,●,-,●,-,●,●,●
电动后备厢,●,●,●,-,●,-,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
热泵空调,●,●,●,-,●,-,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-,-,-,-,-
毫米波雷达数量,,-,,-,,-,-,,
最高车速(km/h),180,180,180,180,180,180,180,180,180
最小离地间隙(mm),-,-,-,-,166,166,166,166,166
最大满载质量(kg),2425,2430,2430,2430,2495,2430,2430,2430,2425
最大扭矩(N·m),360,360,360,360,360,360,360,360,360
最大功率(kW),200,185,185,185,200,185,185,185,200
无钥匙进入功能,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-
方向盘加热,●,-,●,-,●,-,-,●,●
方向盘位置调节,,,,,,,,,
整车质保,,,,,,,,,
整备质量(kg),1975,1980,1980,1980,2045,1980,1980,1980,1975
摄像头数量,,,,,,,,,
接近角(°),17,17,17,17,17,17,17,17,17
换挡形式,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-
手机无线充电功能,,-,,-,,-,,,
手机无线充电功率,,-,,-,,-,,,
手机互联/映射,,,,,,,,,
手机APP远程功能,,,,,,,,,
慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,,,,,,,
感应后备厢,●,●,●,-,●,-,●,●,●
快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),230,160,160,160,370,160,160,160,230
循迹倒车,○,-,○,-,●,-,-,●,●
座椅材质,,,,,,,,,
座位数(个),,,,,,,,,
并线辅助,●,-,●,-,●,-,-,●,●
巡航系统,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●
对外放电最低允许值(%),10,10,10,-,10,-,10,10,10
对外放电,●,●,●,-,●,-,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,-,3.3,-,3.3,3.3,3.3
宽度(mm),1936,1936,1936,1936,1936,1936,1936,1936,1936
官方0-50km/h加速(s),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
官方0-100km/h加速(s),7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
安全带未系提醒,,,,,,,,,
天窗类型,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,
备胎规格,,,,,,,,,
地图品牌,,,,,,,,,
哨兵模式/千里眼,-,-,-,-,●,-,-,●,●
后雨刷,-,-,-,-,-,-,-,-,-
后轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640
后轮胎规格,,,,,,,,,
后方碰撞预警,●,-,●,-,●,-,-,●,●
后排独立空调,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,
后悬架类型,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●
后备厢容积(L),400,400,400,400,400-1546,400-1546,400-1546,400-1546,400-1546
后制动器类型,,,,,,,,,
可见即可说,●,●,●,●,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),19.98万,16.38万,17.58万,15.58万,16.18万,11.98万,13.18万,14.38万,16.78万
厂商,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
卫星导航系统,●,●,●,●,●,●,●,●,●
单踏板模式,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,
前轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640
前轮胎规格,,,,,,,,,
前电动机最大扭矩(N·m),360,360,360,360,360,360,360,360,360
前电动机最大功率(kW),200,185,185,185,200,185,185,185,200
前电动机型号,TZ220XS646,TZ220XS645,TZ220XS645,TZ220XS645,TZ220XS646,TZ220XS645,TZ220XS645,TZ220XS645,TZ220XS646
前方碰撞预警,●,-,●,-,●,-,-,●,●
前排座椅功能,,-,,-,,-,,,
前悬架类型,,,,,,,,,
前制动器类型,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-
倒车车侧预警系统,●,-,●,-,●,-,-,●,●
侧窗多层隔音玻璃,,,,,,,,,
低速行车警告,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,
主动闭合式进气格栅,●,●,●,-,-,-,-,-,-
主动刹车/主动安全系统,●,-,●,-,●,-,-,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,
中控屏幕尺寸,,,,,,,,,
中控屏幕分辨率,,,,,,,,,
中控屏幕像素密度,,,,,,,,,
上市时间,2023.12,2023.12,2023.12,2023.12,2024.11,2024.11,2024.11,2024.11,2024.11
上坡辅助,●,●,●,●,●,●,●,●,●
三电首任车主质保政策,,,,,-,-,-,-,-
Wi-Fi热点,●,●,●,●,●,●,●,●,●
USB/Type-C最大充电功率,-,-,-,-,,,,,
USB/Type-C接口数量,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,●,-,●,-,●,-,-,●,●
HUD抬头尺寸,,-,,-,,-,-,,
ETC装置,○,○,○,○,○,○,○,○,○
DOW开门预警,●,-,●,-,●,-,-,●,●
CLTC纯电续航里程(km)_y,660,520,520,520,630,520,520,520,660
CLTC纯电续航里程(km)_x,660,520,520,520,630,520,520,520,660
ABS防抱死,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,
220V/230V电源,●,-,●,-,●,-,-,●,●
