Feature,1019266,1019267,1019268,1019269,1019270,1019271,1019272,1019273,1019274,1019275,1019276,1019277,1019278,1019279,1019280,1019281,1019282,1020801
高度(mm),2030,2415,2030,2415,2015,2405,2015,2405,2025,2015,2045,2025,2415,2015,2405,2015,2405,2015
驾驶辅助影像,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4998,4998,4998,4998,5364,5364,5364,5364,4998,5364,5364,4998,4998,5364,5364,5364,5364,5364
长*宽*高(mm),4998*2030*2030,4998*2030*2415,4998*2030*2030,4998*2030*2415,5364*2030*2015,5364*2030*2405,5364*2030*2015,5364*2030*2405,4998*2030*2025,5364*2030*2015,5364*2030*2045,4998*2030*2025,4998*2030*2415,5364*2030*2015,5364*2030*2405,5364*2030*2015,5364*2030*2405,5364*2030*2015
钥匙类型,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,
轴距(mm),3000,3000,3000,3000,3366,3366,3366,3366,3000,3366,3366,3000,3000,3366,3366,3366,3366,3366
轮圈材质,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车道保持辅助系统,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车窗防夹手功能,○,○,○,○,○,○,○,○,●,●,●,○,○,○,○,○,○,○
车窗一键升降功能,,,,,,,,,,,,,,,,,,
车型名称,依维柯聚星新能源 2025款 多用途乘用车 51.5kWh 标轴低顶 5-9座,依维柯聚星新能源 2025款 多用途乘用车 51.5kWh 标轴中顶 5-9座,依维柯聚星新能源 2025款 多用途乘用车 77kWh 标轴低顶 5-9座,依维柯聚星新能源 2025款 多用途乘用车 77kWh 标轴中顶 5-9座,依维柯聚星新能源 2025款 多用途乘用车 77kWh 长轴低顶 5-9座,依维柯聚星新能源 2025款 多用途乘用车 77kWh 长轴中顶 5-9座,依维柯聚星新能源 2025款 多用途乘用车 88.8kWh 长轴低顶 5-9座,依维柯聚星新能源 2025款 多用途乘用车 88.8kWh 长轴中顶 5-9座,依维柯聚星新能源 2025款 客车 88.8kWh 标轴低顶 7座,依维柯聚星新能源 2025款 客车 88.8kWh 长轴低顶 7/9座,依维柯聚星新能源 2025款 客车 88.8kWh 长轴中顶 7/9座,依维柯聚星新能源 2025款 厢式运输车 77kWh 标轴低顶 3座,依维柯聚星新能源 2025款 厢式运输车 77kWh 标轴中顶 3座,依维柯聚星新能源 2025款 厢式运输车 77kWh 长轴低顶 3座,依维柯聚星新能源 2025款 厢式运输车 77kWh 长轴中顶 3座,依维柯聚星新能源 2025款 厢式运输车 88.8kWh 长轴低顶 3座,依维柯聚星新能源 2025款 厢式运输车 88.8kWh 长轴中顶 3座,依维柯聚星新能源 2025款 多用途乘用车 100.96kWh 中轴中顶 7座
车前雾灯,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○
车侧脚踏板,,,,,,,,,,,,,,,,,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,2547x1800x1328,2547x1800x1693,2913x1800x1328,2913x1800x1693,2913x1800x1328,2913x1800x1693,-
语音识别控制系统,,,,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,,,,,,,,,-,-,-,-,-,-,
空调温度控制方式,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,○,○,○,-,-,-,-,-,-,○
离去角(°),22,22,21,21,20,20,20,21,20,20,21,21,21,21,21,21,21,21
百公里耗电量(kWh/100km),18.9,18.9,19.8,19.8,20.5,20.5,20.7,20.7,21.1,20.7,20.7,-,-,-,-,-,-,20.7
疲劳驾驶提示,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
电芯品牌,,,,,,,,,,,,,,,,,,
电池能量(kWh),51.5,51.5,77,77,77,77,88.8,88.8,88.8,88.8,88.8,77,77,77,77,88.8,88.8,100.96
电池类型,,,,,,,,,,,,,,,,,,
电池慢充电量范围(%)_y,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,-
电池慢充电量范围(%)_x,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,-
电池慢充时间(小时)_y,4.8,4.8,7.4,7.4,7.4,7.4,8.5,8.5,8.5,8.5,8.5,7.4,7.4,7.4,7.4,8.5,8.5,-
电池慢充时间(小时)_x,4.8,4.8,7.4,7.4,7.4,7.4,8.5,8.5,8.5,8.5,8.5,7.4,7.4,7.4,7.4,8.5,8.5,-
电池快充电量范围(%)_y,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-
电池快充电量范围(%)_x,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-
电池快充时间(小时)_y,0.6,0.6,0.6,0.6,0.6,0.6,0.72,0.72,0.72,0.72,0.72,0.6,0.6,0.6,0.6,0.72,0.72,-
电池快充时间(小时)_x,0.6,0.6,0.6,0.6,0.6,0.6,0.72,0.72,0.72,0.72,0.72,0.6,0.6,0.6,0.6,0.72,0.72,-
电池冷却方式,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204
电动机总扭矩(N·m),330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
电动机总功率(kW),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
电动机(Ps),204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
满载最小离地间隙(mm),185,185,181,181,168,168,180,180,174,180,180,166,166,162,162,162,162,180
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,-
最高车速(km/h),130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
最小转弯半径(m),6.05,6.05,6.05,6.05,6.7,6.7,6.7,6.7,6.05,6.7,6.7,6.05,6.05,6.7,6.7,6.7,6.7,6.7
最大载重质量(kg),3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3800,3800,3800,3800,3800,3800,-
最大爬坡度(%),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
最大满载质量(kg),3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3800,3800,3800,3800,3800,3800,-
最大扭矩(N·m),330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
最大功率(kW),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
无钥匙进入功能,,,,,,,,,,,,,,,,,,-
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-
方向盘位置调节,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,
整备质量(kg),2250,2250,2380,2410,2560,2560,2640,2640,2650,2750,2860,2335,2365,2385,2415,2465,2495,2855
接近角(°),19,19,19,19,19,18,19,18,19,19,18,19,19,19,19,19,19,18
换挡形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,,,,,,,,,,,,,,,,,,
慢充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
感应雨刷功能,,,,,,,,,,,,,,,,,,-
