Feature,56910,56912,56913,56917,56918,56919,59233,59234,64338,66022,67460,67461,67462
高度(mm),1423,1428,1428,1428,1428,1432,1423,1428,1421,-,1419,1425,-
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,,,-,-,
长度(mm),5049,5049,5199,5049,5199,5199,5049,5199,5054,-,5052,5202,5202
长*宽*高(mm),5049*1937*1423,5049*1937*1428,5199*1937*1428,5049*1937*1428,5199*1937*1428,5199*1937*1432,5049*1937*1423,5199*1937*1428,5054*1937*1421,5199*1937*1432,5052*1937*1419,5202*1937*1425,5202*1937*1428
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,-,○,○,○,○,○
道路救援呼叫,-,-,-,-,-,-,-,-,●,●,●,●,●
道路交通标识识别,○,○,○,○,○,○,-,-,●,●,●,●,●
远程启动功能,-,-,-,-,-,-,-,-,,,,,
远光灯光源,,,,,,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,,,,,,
运动风格座椅,○,○,-,○,○,-,○,-,●,●,○,○,○
辅助驾驶等级,,,,,,,-,-,,,,,
辅助泊车入位,-,-,-,-,-,-,-,-,●,●,●,●,●
轴距(mm),2950,2950,3100,2950,3100,3100,2950,3100,2950,3100,2950,3100,3100
轮圈材质,,,,,,,,,,,,,
转向辅助灯,○,○,○,○,○,○,-,-,●,●,○,○,○
转向头灯,○,○,○,○,○,○,-,-,●,●,○,○,○
车顶行李架,○,○,-,○,-,-,○,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,●,●,○,○,○
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●
车载CD/DVD,-,-,-,-,-,,-,-,-,-,-,-,-
车身结构_y,掀背车,旅行车,掀背车,旅行车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门4座掀背车,5门5座旅行车,5门4座掀背车,5门5座旅行车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车,5门4座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车库门遥控装置,-,-,-,-,-,-,-,-,○,○,○,○,○
车型名称,Panamera新能源 2023款 Panamera 4 E-Hybrid 2.9T,Panamera新能源 2023款 Panamera 4 E-Hybrid Sport Turismo 2.9T,Panamera新能源 2023款 Panamera 4 E-Hybrid 行政加长版 2.9T,Panamera新能源 2023款 Panamera 4S E-Hybrid Sport Turismo 2.9T,Panamera新能源 2023款 Panamera 4S E-Hybrid 行政加长版 2.9T,Panamera新能源 2023款 Panamera Turbo S E-Hybrid 行政加长版 4.0T,Panamera新能源 2023款 改款 Panamera 4 E-Hybrid 铂金版 2.9T,Panamera新能源 2023款 改款 Panamera 4 E-Hybrid 行政加长铂金版 2.9T,Panamera新能源 2024款 Panamera Turbo E-Hybrid 4.0T,Panamera新能源 2024款  Panamera Turbo E-Hybrid 行政加长版 4.0T,Panamera新能源 2024款 Panamera 4 E-Hybrid 2.9T,Panamera新能源 2024款 Panamera 4 E-Hybrid 行政加长版 2.9T,Panamera新能源 2024款 Panamera 4S E-Hybrid 行政加长版 2.9T
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,
负离子发生器,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,
被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,○,○,○,○,○,○,-,-,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
