Feature,59318,59319,62563,62976,62977,62978,62979,62980,64616,64996,64998,65027,65030,65031,65032
高度(mm),1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773,1773
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●
长度(mm),5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052
长*宽*高(mm),5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773,5052*1989*1773
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
辅助驾驶系统,,,,-,,-,,,,,-,-,,,
辅助驾驶等级,,,,-,,-,,,,,-,-,,,
轴距(mm),2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980
轮圈材质,,,,,,,,,,,,,,,
转向头灯,-,●,-,-,-,-,-,●,-,●,-,-,-,-,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,-,●,-,●,●,●,●,-,-,●,●,●
车道偏离预警系统,●,●,●,-,●,-,●,●,●,●,-,-,●,●,●
车道保持辅助系统,●,●,●,-,●,-,●,●,●,●,-,-,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,途昂 2023款 530 V6 四驱尊崇豪华版,途昂 2023款 530 V6 四驱尊崇旗舰版,途昂 2023款 改款 380TSI 四驱尊崇豪华版,途昂 2023款 改款 330TSI 两驱豪华版,途昂 2023款 改款 330TSI 两驱尊崇豪华版,途昂 2023款 改款 380TSI 四驱豪华版,途昂 2023款 改款 380TSI 四驱尊享豪华版,途昂 2023款 改款 380TSI 四驱尊崇旗舰版,途昂 2024款 380TSI 四驱尊崇豪华版,途昂 2024款 380TSI 四驱尊崇旗舰版,途昂 2024款 380TSI 四驱豪华版,途昂 2024款 330TSI 两驱豪华版,途昂 2024款 380TSI四驱青峰限定版,途昂 2024款 530 V6 四驱尊崇豪华版,途昂 2024款 530 V6 四驱尊崇旗舰版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,-,-,-,-,-,●,-,●,-,-,-,-,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,○,○,○,-,○,-,○,○,○,○,-,-,-,○,○
第二排座椅调节,,,,,,,,,,,,,,,
第二排座椅功能,,,,-,,-,,,,,-,-,,,
空调温度控制方式,,,,,,,,,,,,,,,
离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,,,,-,,-,,,,,-,-,,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,,-,-,-,-,-,,-,,-,-,-,-,
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,
油箱容积(L),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
气缸数(个),6,6,4,4,4,4,4,4,4,4,4,4,4,6,6
气缸排列形式,V,V,L,L,L,L,L,L,L,L,L,L,L,V,V
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
最大马力(Ps),299,299,220,186,186,220,220,220,220,220,220,186,220,299,299
最大满载质量(kg),2760,2760,2650,2565,2565,2650,2650,2650,2650,2650,2650,2565,2650,2760,2760
最大扭矩转速(rpm),2750-3500,2750-3500,1600-4300,1500-4050,1500-4050,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1500-4050,1600-4300,2750-3500,2750-3500
最大扭矩(N·m)_y,500,500,350,320,320,350,350,350,350,350,350,320,350,500,500
最大扭矩(N·m)_x,500,500,350,320,320,350,350,350,350,350,350,320,350,500,500
最大功率转速(rpm),6000,6000,4900-6700,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4150-6000,4900-6700,6000,6000
最大功率(kW)_y,220,220,162,137,137,162,162,162,162,162,162,137,162,220,220
