Feature,1012164,1012165,1012166,1012167,1012168,1012169,1012170,1012171,1013547,1013548,1013549,1013550,1013551,1013552,1013553,1013554,1013555,1013556,1013557,1013558,1013787,1013788,1014024,1014834,1014835,1015055,1015056,1015531,1015532,1015533,1015534,1015838,1015839,1015840,1015841,1015842,1015843,1015844,1015845,1015846,1015847,1015848,1015849,1015850,1015851,1015933,1015934,1015935,1015936,1016918,1016990,1017032,1017033,1017034,1017035,1017036,1017037,1017038,1017039,1017040,1017041,1017042,1017043,1017044,1017045,1017046,1017047,1017048,1017049,1017050,1017051
高度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1845,1845,1845,1845,1840,1840,1840,1840,-,-,2030,1895,1895,1840,1840,1840,1840,1840,1840,2020,2020,1970,1970,1970,1970,1970,1970,1970,1970,1875,1875,1875,1875,1815,1815,1895,1895,1840,1960,1840,1840,1900,1900,1845,1845,1845,1845,1895,1895,1925,1925,1925,1925,1895,1895,1925,1925,1925,1925
驾驶辅助影像,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,-,-,,,-,-,,,-,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,-,,-,,-,-,-,,-,,,,,,,,,,-,,-,,-,,-,,-,,-,
长度(mm),5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,-,-,5435,5341,5341,5624,5624,5341,5341,5624,5624,5449,5449,5624,5624,5624,5624,5348,5348,5624,5624,5341,5341,5624,5624,5341,5341,5341,5341,5341,5605,5341,5341,5624,5624,5341,5341,5624,5624,5341,5341,5624,5624,5624,5624,5341,5341,5624,5624,5624,5624
长*宽*高(mm),5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1920×1855,5624×1920×1855,5341×1885×1845,5624×1885×1845,5341×1885×1845,5624×1885×1845,5341×1885×1840,5624×1885×1840,5341×1885×1840,5624×1885×1840,××,××,5435×2045×2030,5341*1920*1895,5341*1920*1895,5624×1885×1840,5624×1885×1840,5341×1885×1840,5341×1885×1840,5624×1885×1840,5624×1885×1840,5449*2055*2020,5449*2055*2020,5624*2055*1970,5624*2055*1970,5624*2055*1970,5624*2055*1970,5348*2055*1970,5348*2055*1970,5624*2055*1970,5624*2055*1970,5341*1920*1875,5341*1920*1875,5624*1920*1875,5624*1920*1875,5341*1920*1815,5341*1920*1815,5341*1920*1895,5341*1920*1895,5341×1885×1840,5605*1885*1960,5341×1885×1840,5341×1885×1840,5624*1885*1900,5624*1885*1900,5341×1885×1845,5341×1885×1845,5624×1885×1845,5624×1885×1845,5341*1920*1895,5341*1920*1895,5624*1920*1925,5624*1920*1925,5624*1920*1925,5624*1920*1925,5341*1920*1895,5341*1920*1895,5624*1920*1925,5624*1920*1925,5624*1920*1925,5624*1920*1925
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3513,3230,3230,3230,3230,3230,3513,3513,3230,3230,3513,3513,3230,3230,3513,3513,3513,3513,3230,3230,3513,3513,3230,3513,3230,3513,3230,3230,3230,3230,3230,3513,3230,3230,3513,3513,3230,3230,3513,3513,3230,3230,3513,3513,3513,3513,3230,3230,3513,3513,3513,3513
