Feature,1016671,1016672,1016673,1016674,1016675,1016676,1016677,1016679,1016680,1016681,1016682,1016683,1016684,1016685,1016686,1016687,1017806,1017807,1017808,1017809,1017810,1017811,1017812,1017813,1017814,1017815,1017816,1017817,1017818,1017819,1017820,1017821,1017822,1017823,1017824,1017825,1017826,1017827,1017828,1017830,1017831,1017832,1017833,1017834,1017835,1017836,1017837,1017838,1017839,1017840,1017841,1017842
高度(mm),2189,2445,2445,2198,2445,2445,2720,2198,2445,2445,2720,2445,2720,2198,2198,2445,2189,2445,2445,2218,2218,2445,2445,2720,2218,2445,2445,2720,2445,2720,2218,2445,2218,2445,2445,2445,2720,2445,2720,2218,2445,2445,2720,2218,2445,2218,2445,2445,2445,2720,2445,2720
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4923,4923,5495,4923,4923,5495,5495,4923,4923,5495,5495,5990,5990,4923,4923,4923,4923,4923,5495,4923,4923,4923,5495,5495,4923,4923,5495,5495,5990,5990,4923,4923,4923,4923,5495,5990,5990,5990,5990,4923,4923,5495,5495,4923,5495,4923,4923,5495,5990,5990,5990,5990
长*宽*高(mm),4923*2000*2189,4923*2000*2445,5495*2000*2445,4923*2000*2198,4923*2000*2445,5495*2000*2445,5495*2000*2720,4923*2000*2198,4923*2000*2445,5495*2000*2445,5495*2000*2720,5990*2000*2445,5990*2000*2720,4923*2000*2198,4923*2000*2198,4923*2000*2445,4923*2000*2189,4923*2000*2445,5495*2000*2445,4923*2000*2218,4923*2000*2218,4923*2000*2445,5495*2000*2445,5495*2000*2720,4923*2000*2218,4923*2000*2445,5495*2000*2445,5495*2000*2720,5990*2000*2445,5990*2000*2720,4923*2000*2218,4923*2000*2445,4923*2000*2218,4923*2000*2445,5495*2000*2445,5990*2000*2445,5990*2000*2720,5990*2000*2445,5990*2000*2720,4923*2000*2218,4923*2000*2445,5495*2000*2445,5495*2000*2720,4923*2000*2218,5495*2000*2445,4923*2000*2218,4923*2000*2445,5495*2000*2445,5990*2000*2445,5990*2000*2720,5990*2000*2445,5990*2000*2720
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
