Feature,62553,66141,67362,67363,67364,67365,67366
高度(mm),1900,1990,1835,1835,1900,1840,1900
驾驶辅助影像,,,-,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,
长度(mm),4825,4825,4800,4800,4800,4800,4800
长*宽*高(mm),4825*2070*1900,4825*2070*1990,4800*1990*1835,4800*1990*1835,4800*2070*1900,4800*1990*1840,4800*2070*1900
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
轴距(mm),2950,2950,2950,2950,2950,2950,2950
轮圈材质,,,,,,,
车顶行李架,-,●,-,-,-,-,-
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,-,●,●,●,●
车道保持辅助系统,●,●,-,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-
车载智能系统,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机系统存储(GB),,,,,,,
车机系统内存(GB),,,,,,,
车机智能芯片,,,,,,,
车型名称,福特烈马 2024款 2.3T 荒地,福特烈马 2024款 2.3T 大沼泽地,福特烈马 2024款 2.3T 远湾,福特烈马 2024款 2.3T 墨钻,福特烈马 2024款 2.3T 墨钻大脚越野版,福特烈马 2024款 2.3T 长滩,福特烈马 2024款 2.3T 长滩大脚越野版
车前雾灯,-,-,-,,,,
车内环境氛围灯,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车侧脚踏板,-,-,-,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
超声波雷达数量,,,,,,,
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
行车电脑显示屏幕,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●
蠕行模式,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,-,●,●,●,●
自动驻车,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
纵向通过角(°),26,26,22,22,26,22,26
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
离去角(°),37,37,31,31,37,31,37
疲劳驾驶提示,●,●,-,●,●,●,●
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,
涉水喉,-,●,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,80
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
毫米波雷达数量,,,-,,,,
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),161,161,169,169,161,169,161
最小离地间隙(mm),273,273,237,237,273,242,273
最大马力(Ps),275,275,275,275,275,275,275
最大满载质量(kg),2760,2760,2725,2725,2725,2685,2710
最大涉水深度(mm),850,925,800,800,850,800,850
最大扭矩转速(rpm),-,-,-,-,-,-,-
最大扭矩(N·m)_y,429,429,429,429,429,429,429
最大扭矩(N·m)_x,429,429,429,429,429,429,429
最大功率转速(rpm),-,-,-,-,-,-,-
最大功率(kW)_y,202,202,202,202,202,202,202
最大功率(kW)_x,202,202,202,202,202,202,202
最大净功率(kW),200,200,200,200,200,200,200
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,●,●,-,-,-,●,●
方向盘位置调节,,,,,,,
整车质保,-,-,-,-,-,-,-
整备质量(kg),2322,2322,2160,2222,2289,2172,2267
摄像头数量,,,-,,,,
接近角(°),45,45,38,38,45,38,45
排量(mL),2261,2261,2261,2261,2261,2261,2261
换挡形式,,,,,,,
挡位个数,10,10,10,10,10,10,10
拖挂钩,,,-,,,,
扬声器数量,,,,,,,
扬声器品牌名称,,,-,-,-,,
手机无线充电功能,,,-,-,-,,
手机互联/映射,,,,,,,
手机APP远程功能,,,,,,,
感应雨刷功能,,,,,,,
座椅材质,,,,,,,
座位数(个),,,,,,,
并线辅助,●,●,-,-,-,●,●
巡航系统,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●
宽度(mm),2070,2070,1990,1990,2070,1990,2070
官方0-100km/h加速(s),-,-,-,-,-,-,-
安全带未系提醒,,,,,,,
天窗类型,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,
多功能方向盘,●,●,●,●,●,●,●
外后视镜功能,,,,,,,
备胎规格,,,,,,,
备胎放置方式,,,,,,,
坦克转弯,●,●,●,●,●,●,●
地图品牌,,,,,,,
四驱形式,,,,,,,
后雨刷,●,●,●,●,●,●,●
后轮距(mm),1700,1700,1650,1650,1700,1650,1700
后轮胎规格,,,,,,,
后排独立空调,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●,●
后悬架类型,,,,,,,
