Feature,60634,60635,62132,62133,62134,62135,62136,66667,67325,67326,68947,68948,68949
高度(mm),1435,1435,1435,1435,1435,1435,1435,1435,1455,1435,1435,1435,1435
驾驶辅助影像,,-,,-,-,,,,,,-,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,-,-,-,-,单电机,-,-,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640
长*宽*高(mm),4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1455,4640*1780*1435,4640*1780*1435,4640*1780*1435,4640*1780*1435
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,-,●,●,●,●,-,-,●,●,●
远光灯光源,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,●
辅助驾驶系统,,,,-,,,,,,,,,
辅助驾驶等级,,,,-,,,,,,,,,
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,-,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,-,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,-,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,-,-,-,-,-,●,-,-,-,-,-,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车型名称,雷凌 2023款 智能电混双擎 1.8L 运动版,雷凌 2023款 智能电混双擎 1.8L 领先版,雷凌 2023款 智能电混双擎 1.8L 豪华版,雷凌 2023款 TNGA 1.5L CVT进取版,雷凌 2023款 TNGA 1.5L CVT领先版,雷凌 2023款 TNGA 1.5L CVT豪华版,雷凌 2023款 TNGA 1.5L CVT运动版,雷凌 2024款 智能电混双擎 1.8L 骑士版,雷凌 2024款 185T CVT豪华版,雷凌 2024款 185T CVT运动版,雷凌 2024款 智能电混双擎 1.8L 领先版,雷凌 2024款 智能电混双擎 1.8L 豪华版,雷凌 2024款 智能电混双擎 1.8L 运动版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,-,-,-,-,-,,-,,,-,-,
语音助手唤醒词,-,-,-,-,-,-,-,-,-,-,-,-,
语音分区域唤醒识别,-,-,-,-,-,-,-,-,-,-,-,-,
行车电脑显示屏幕,,,,,,,,,,,,,
行程(mm),88.3,88.3,88.3,-,-,-,-,88.3,74.5,74.5,88.3,88.3,88.3
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,-,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,,,-,-,-
能量回收系统,●,●,●,-,-,-,-,●,-,-,●,●,●
能源类型_y,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,油电混合,油电混合,油电混合
能源类型_x,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),80.5,80.5,80.5,-,-,-,-,80.5,71.5,71.5,80.5,80.5,80.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
