Feature,57688,57689,57690,57691,57692,57693,57694,60677,61531,62311,62418,62419
高度(mm),1990,1990,1990,1990,1990,1990,1990,1990,2000,1990,1990,1990
驾驶辅助影像,-,-,,-,-,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5135,5135,5135,5135,5135,5135,5135,5135,5145,5135,5135,5135
长*宽*高(mm),5135*1720*1990,5135*1720*1990,5135*1720*1990,5135*1720*1990,5135*1720*1990,5135*1720*1990,5135*1720*1990,5135*1720*1990,5145*1720*2000,5135*1720*1990,5135*1720*1990,5135*1720*1990
钥匙类型,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,
轴距(mm),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
轮圈材质,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,●,●,●,●,-,-,●,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,货车,MPV,货车,MPV
车身结构_x,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门9座MPV,4门2座货车,4门7座MPV,4门2座货车,4门5座MPV
车身稳定控制(ESC/ESP/DSC等),-,-,-,●,●,●,●,-,-,●,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,菱智M5EV 2022款 普通版 基本型 7座,菱智M5EV 2022款 普通版 基本型 9座,菱智M5EV 2022款 普通版 豪华型 7座,菱智M5EV 2022款 客运版 标准型 7座,菱智M5EV 2022款 客运版 标准型 9座,菱智M5EV 2022款 客运版 豪华型 7座,菱智M5EV 2022款 客运版 豪华型 9座,菱智M5EV 2022款 普通版 豪华型 9座,菱智M5EV 2023款 厢式版 基本型 2座,菱智M5EV 2022款 滴滴专享型 7座,菱智M5EV 2023款 厢式版 经典型 2座,菱智M5EV 2023款 乘用版 经典型 5座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,
蓝牙/车载电话,-,-,●,-,-,●,●,●,-,●,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,-,●,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,-,,-,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
级别,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●,●,●,-,●,-,●,-,●,-,-
第二排座椅调节,,,,,,,,,-,,-,-
空载最小离地间隙(mm),178,178,178,178,178,178,178,178,170,178,170,170
空调温度控制方式,,,,,,,,,,,,
离去角(°),18,18,18,18,18,18,18,18,-,18,-,-
百公里耗电量(kWh/100km),16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,-,16.8,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,欣旺达,欣旺达,欣旺达,欣旺达,欣旺达,欣旺达,欣旺达,欣旺达,宁德时代,欣旺达,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,-,1.9,-,-
电池能量密度(Wh/kg),140,140,140,140,140,140,140,140,-,140,-,-
电池能量(kWh),68.4,68.4,68.4,68.4,68.4,68.4,68.4,68.4,41.86,68.4,41.86,41.86
电池组质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,五年或20万公里,八年或16万公里,五年或20万公里,五年或20万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),300,300,300,300,300,300,300,300,220,300,220,220
电动机总功率(kW),90,90,90,90,90,90,90,90,60,90,60,60
电动机总功率(Ps),122,122,122,122,122,122,122,122,82,122,82,82
电动机(Ps),122,122,122,122,122,122,122,122,82,122,82,82
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,●,●,●,●,-,-,●,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),100,100,100,100,100,100,100,100,90,100,80,100
最大满载质量(kg),2565,2715,2565,2565,2715,2565,2715,2715,2900,2565,2900,-
最大扭矩(N·m),300,300,300,300,300,300,300,300,220,300,220,220
最大功率(kW),90,90,90,90,90,90,90,90,60,90,60,60
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,
整车质保,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
整备质量(kg),2020,2020,2020,2020,2020,2020,2020,2020,1610,2020,1610,1675
接近角(°),19,19,19,19,19,19,19,19,-,19,-,-
换挡形式,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,,-,-,,,,-,,-,-
慢充时间(小时)_y,13,13,13,13,13,13,13,13,11.5,13,11.5,11.5
慢充时间(小时)_x,13,13,13,13,13,13,13,13,11.5,13,11.5,11.5
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-
快充电量百分比,80,80,80,80,80,80,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80,80,80,80,80,80,80
快充时间(小时)_y,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,1,0.58,1,1
快充时间(小时)_x,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,1,0.58,1,1
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,
座椅布局,,,,,,,,,-,,-,-
座位数(个),7,9,7,7,9,7,9,9,2,7,2,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-
