Feature,67204,67205,67206,68974,68975,68976,68977,68978,68979
高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450
驾驶辅助影像,,,,-,-,-,,,
驾驶模式切换,,-,,-,-,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,-,单电机,-,-,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4990,4990,4990,4990,4990,4990,4990,4990,4990
长*宽*高(mm),4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,
辅助驾驶系统,,,,,,,,,
辅助驾驶等级,,,,,,,,,
轴距(mm),2870,2870,2870,2870,2870,2870,2870,2870,2870
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,●,-,-,-,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,-,-,-,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车机系统存储(GB),,,,-,-,-,,,
车机系统内存(GB),,,,-,-,-,,,
车机智能芯片,,,,-,-,-,,,
车型名称,亚洲龙 2024款 双擎 2.0L 豪华版,亚洲龙 2024款 2.0L 豪华版,亚洲龙 2024款 双擎 2.5L Limited旗舰版,亚洲龙 2024款 2.0L 进取版,亚洲龙 2024款 2.0L 臻选版,亚洲龙 2024款 双擎 2.0L 臻选版,亚洲龙 2024款 双擎 2.0L 尊贵版,亚洲龙 2024款 双擎 2.0L 尊享版,亚洲龙 2024款 双擎 2.5L XLE尊贵版
车前雾灯,,,,,,,,,
车内香氛装置,-,-,●,-,-,-,-,●,-
车内环境氛围灯,-,-,,-,-,-,,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,●,-,-,-,●,●,●
语音连续识别,●,●,●,-,-,-,●,●,●
语音识别控制系统,,,,-,-,-,,,
语音助手唤醒词,,,,-,-,-,,,
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,
能量回收系统,●,-,●,-,-,●,●,●,●
能源类型_y,油电混合,汽油,油电混合,汽油,汽油,油电混合,油电混合,油电混合,油电混合
