Feature,62632,62697,62698,65944,65948,66018,66054,66277,66993,67037,68530,68531,68532,69282,70395,70446,70525,70547
高度(mm),1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701
驾驶辅助影像,,,,-,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720
长*宽*高(mm),4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701,4720*1908*1701
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,
辅助驾驶等级,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,,,,,,,,,,
车顶行李架,●,-,●,●,-,●,●,-,●,-,-,-,●,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
车道保持辅助系统,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
车载空气净化器,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,
车型名称,创维HT-i 2023款 总裁版,创维HT-i 2023款 AIR,创维HT-i 2023款 PLUS,创维HT-i 2024款 1.5L PHEV 115KM 国创版,创维HT-i 2023款 1.5L PHEV 115KM 智龙版,创维HT-i 2023款 改款 MAX,创维HT-i 2023款 1.5L PHEV 231KM 领航版,创维HT-i 2024款 1.5L PHEV 115KM 惠耀版,创维HT-i 2024款 1.5L PHEV 115KM 泰道版,创维HT-i 2024款 奋斗版,创维HT-i 2024款 1.5L PHEV 115KM 冠军版,创维HT-i 2024款 1.5L PHEV 115KM 智龙版,创维HT-i 2024款 1.5L PHEV 231KM 领航版,创维HT-i 2024款 1.5L PHEV 115KM V9,创维HT-i 2024款 荣耀版,创维HT-i 2024款 1.5L PHEV 115KM 尊耀版,创维HT-i 2024款 1.5L PHEV 115KM 创业版,创维HT-i 2024款 奋斗版PLUS
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,,,,,-,,-,,,,-,-,-,,-
车内化妆镜,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,-,-,-,-,●,●,-,-,-,-,-,●,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,,,,,,,,,,,
