Feature,57172,57173,60227,60232,60233,65706,65707
高度(mm),1494,1494,1504,1504,1494,1473,1504
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,-,-,●,●,-,-,●
长度(mm),4951,4951,4951,4951,4951,4951,4951
长*宽*高(mm),4951*1886*1494,4951*1886*1494,4951*1902*1504,4951*1902*1504,4951*1886*1494,4951*1886*1473,4951*1902*1504
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,○,○,○,○
远程启动功能,-,-,-,-,-,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
运动风格座椅,○,●,○,○,●,●,○
运动外观套件,●,●,-,-,●,●,-
辅助驾驶等级,,,,,,,
轴距(mm),2925,2925,2925,2925,2925,2928,2925
轮圈材质,,,,,,,
车顶行李架,●,●,●,●,●,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,○,○,●,●,○,○,●
车道保持辅助系统,○,○,○,○,○,○,○
车载空气净化器,○,●,○,○,●,●,○
车载智能系统,,,,,,,
车身结构_y,旅行车,旅行车,旅行跨界车,旅行跨界车,旅行车,旅行车,旅行跨界车
车身结构_x,5门5座旅行车,5门5座旅行车,5门5座旅行跨界车,5门5座旅行跨界车,5门5座旅行车,5门5座旅行车,5门5座旅行跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,奥迪A6(进口) 2023款 Avant 先锋派 40 TFSI 豪华动感型,奥迪A6(进口) 2023款 Avant 先锋派 45 TFSI 臻选动感型,奥迪A6(进口) 2023款 allroad quattro 55 TFSI 尊享越野型,奥迪A6(进口) 2023款 allroad quattro 55 TFSI 大探险家版,奥迪A6(进口) 2023款 Avant 45 TFSI 大探险家版,奥迪A6(进口) 2024款 Avant 先锋派 45 TFSI 臻选动感型,奥迪A6(进口) 2024款 allroad quattro 55 TFSI 尊享越野型
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,○,●,○,○,●,●,○
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,○,●,○,○,●,●,○
语音识别控制系统,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动泊车入位,○,○,○,○,○,○,○
自动头灯,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油,汽油+48V轻混系统
能源类型_x,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油,汽油+48V轻混系统
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铸铁,铝合金,铝合金,铸铁,铸铁,铝合金
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-,-,-,-,-,-
第二排座椅功能,,,,,,,
空调温度控制方式,,,,,,,
空气悬架,-,-,●,●,-,-,●
疲劳驾驶提示,-,-,-,-,-,-,-
电动座椅记忆功能,,,,,,,
电动吸合车门,,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号
灯光特色功能,,,,,,,
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,
油箱容积(L),73,73,73,73,73,73,73
气缸数(个),4,4,6,6,4,4,6
气缸排列形式,L,L,V,V,L,L,V
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),240,250,250,250,250,250,250
最小转弯半径(m),6.05,6.05,6.1,6.1,6.05,6.05,6.1
最大马力(Ps),204,265,340,340,265,265,340
最大满载质量(kg),2310,2405,2540,2540,2405,2405,2540
最大扭矩转速(rpm),-,-,1370-4500,1370-4500,-,-,1370-4500
最大扭矩(N·m)_y,320,370,500,500,370,370,500
最大扭矩(N·m)_x,320,370,500,500,370,370,500
最大功率转速(rpm),-,-,5000-6400,5000-6400,-,-,5000-6400
最大功率(kW)_y,150,195,250,250,195,195,250
最大功率(kW)_x,150,195,250,250,195,195,250
最大净功率(kW),150,195,250,250,195,195,250
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
方向盘记忆,○,○,○,○,○,○,○
方向盘材质,,,,,,,
方向盘换挡,●,●,●,●,●,●,●
方向盘加热,○,○,○,○,○,○,○
方向盘位置调节,,,,,,,
整车质保,,,,,,,
整备质量(kg),1855,1910,2030,2030,1910,1910,2030
整体主动转向系统,-,-,○,○,-,-,○
排量(mL),1984,1984,2995,2995,1984,1984,2995
换挡形式,,,,,,,
挡位个数,7,7,7,7,7,7,7
扬声器数量,,,,,,,
扬声器品牌名称,,,,,,,
手机无线充电功能,,,,,,,
手机互联/映射,,,,,,,
手机APP远程功能,,,,,,,
感应雨刷功能,,,,,,,
感应后备厢,●,●,●,●,●,●,●
座椅材质,,,,,,,
座位数(个),,,,,,,
并线辅助,○,○,○,○,○,○,○
巡航系统,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●
宽度(mm),1886,1886,1902,1902,1886,1886,1902
官方0-100km/h加速(s),8,6.4,5.3,5.3,6.4,6.4,5.6
安全带未系提醒,,,,,,,
天窗类型,,,,,,,
大灯高度可调,●,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●
夜视系统,○,○,○,○,○,○,○
多层隔音玻璃,,,,,,,
多媒体/充电接口,,,,,,,
多功能方向盘,●,●,●,●,●,●,●
外后视镜功能,,,,,,,
备胎规格,,,,,,,
四驱形式,-,,,,,,
后雨刷,●,●,●,●,●,●,●
后轮距(mm),-,-,-,-,-,-,-
后轮胎规格,,,,,,,
后方碰撞预警,○,○,○,○,○,○,○
后排独立空调,○,●,○,○,●,●,○
后排杯架,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,
后排侧隐私玻璃,○,○,○,○,○,○,○
后排侧窗遮阳帘,,,,,,,
后悬架类型,,,,,,,
后座出风口,●,●,●,●,●,●,●
后备厢容积(L),565,565,565,565,565,565,565
后制动器类型,,,,,,,
可变转向比,●,●,●,●,●,●,●
可变悬架功能,,,,,,,
可加热喷水嘴,○,○,○,○,○,○,○
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,-,DMT,DLZ,DLZ,DMT,DMT,DLZ
发动机启停技术,●,●,●,●,●,●,●
发动机,2.0T 204马力 L4,2.0T 265马力 L4,3.0T 340马力 V6,3.0T 340马力 V6,2.0T 265马力 L4,2.0T 265马力 L4,3.0T 340马力 V6
厂商指导价(元),46.08万,50.68万,58.48万,63.78万,52.98万,50.68万,58.48万
厂商,奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口),奥迪(进口)
卫星导航系统,●,●,●,●,●,●,●
助力类型,,,,,,,
