Feature,1013982,1013983,1013984,1013985,1013986,1013987,1013988,1013989,1013990,1013991,1013992,1013993,1013994,1013995,1013996,1014471,1014472,1016701,1016702,1016706,1016707,1017063
高度(mm),2430,1985,2430,1985,2430,1985,1985,2430,1985,2430,2430,1985,2205,1985,2430,1985,2205,2430,2460,1985,2205,2480
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4750,4730,4750,4730,4750,4730,4730,4750,4730,4750,4750,4730,4750,4730,4750,4870,4905,4735,4710,4855,4890,5010
长*宽*高(mm),4750×1635×2430,4730×1635×1985,4750×1635×2430,4730×1635×1985,4750×1635×2430,4730×1635×1985,4730×1635×1985,4750×1635×2430,4730×1635×1985,4750×1635×2430,4750×1635×2430,4730×1635×1985,4750×1635×2205,4730×1635×1985,4750×1635×2430,4870×1660×1985,4905×1660×2205,4735*1655*2430,4710*1635*2460,4855*1660*1985,4890*1660*2205,5010*1660*2480
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,-,-,3050,3050,3050,3050,3200
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,瑞驰新能源EC31 2022款 定制版厢式31.25kWh,瑞驰新能源EC31 2022款 定制版载货31.25kWh,瑞驰新能源EC31 2022款 创享版厢式36.288kWh,瑞驰新能源EC31 2022款 创享版载货36.288kWh,瑞驰新能源EC31 2022款 标准版厢式38.7kWh,瑞驰新能源EC31 2022款 标准版载货38.7kWh,瑞驰新能源EC31 2022款 标准版载货38.64kWh,瑞驰新能源EC31 2022款 标准版厢式38.64kWh,瑞驰新能源EC31 2022款 标准版载货39.42kWh,瑞驰新能源EC31 2022款 标准版厢式39.42kWh,瑞驰新能源EC31 2022款 长续航版厢式41.932kWh,瑞驰新能源EC31 2022款 长续航版载货41.932kWh,瑞驰新能源EC31 2022款 长续航版仓栅41.932kWh,瑞驰新能源EC31 2022款 长续航版载货41.85kWh,瑞驰新能源EC31 2022款 长续航版厢式41.85kWh,瑞驰新能源EC31 2022款 EC31L长续航版载货41.932kWh,瑞驰新能源EC31 2022款 EC31L长续航版仓栅41.932kWh,瑞驰新能源EC31 2023款 标准版 PVC 38.64kWh,瑞驰新能源EC31 2023款 标准版 瓦楞 38.64kWh,瑞驰新能源EC31 2023款 EC31L载货车标准版38.64kWh,瑞驰新能源EC31 2023款 EC31L仓栅车标准版38.64kWh,2023款 EC31S 长续航版厢式41.93kWh
车前雾灯,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2770x1565x1550,2900x1540x350,2770x1565x1550,2900x1540x350,2770x1565x1550,2900x1540x350,2900x1540x350,2770x1565x1550,2900x1540x350,2770x1565x1550,2770x1565x1550,2900x1540x350,2900x1540x350,2900x1540x350,2770x1565x1550,3050×1580×350,3050×1580×350,2770x1565x1550,2770x1550x1610,3050x1580x350,3050x1580x350,3060x1600x1620
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,
离去角(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,35,35,35,35
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,
电池能量(kWh),31.25,31.25,36.288,36.288,38.7,38.7,38.64,38.64,39.42,39.42,41.932,41.932,41.932,41.85,41.85,41.932,41.932,38.64,38.64,38.64,38.64,41.93
电池类型,,,,,,,,,,,,,,,,,,,,,,
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,220,220,220,220,220
电动机总功率(kW),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
电动机总功率(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,82,82,82,-
电动机(Ps),82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,80,80,80,80
最大载重质量(kg),1105,1230,1070,1200,1030,1160,1170,1040,1190,1060,1035,1150,1050,1150,1020,1150,1050,1070,1045,1185,1090,965
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,220,220,220,220,220
最大功率(kW),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1365,1240,1400,1270,1440,1310,1300,1430,1280,1410,1435,1320,1420,1320,1450,1320,1420,1400,1425,1285,1380,1505
