Feature,1017481,1017482,1017483,1017484,1017485,1017486,1017487,1017488,1017489,1017490,1017491,1017492,1017493,1017494,1017495,1017496,1017497
高度(mm),2070,2660,2680,2070,2660,2680,2140,2680,2070,2660,2680,2070,2660,2680,2090,2740,2740
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5475,5475,5475,5995,5995,5995,5910,5910,5475,5475,5475,5995,5995,5995,5995,5995,5995
长*宽*高(mm),5475*1770*2070,5475*1770*2660,5475*1770*2680,5995*1770*2070,5995*1770*2660,5995*1770*2680,5910*1770*2140,5910*1770*2680,5475*1770*2070,5475*1770*2660,5475*1770*2680,5995*1770*2070,5995*1770*2660,5995*1770*2680,5995*1910*2090,5995*1910*2740,5995*1910*2740
钥匙类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,
轴距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轮圈材质,,,,,,,,,,,,,,,,,
车门数(个),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,骏航EV 2023款 EV1 栏板车 3.18米 38.016kWh,骏航EV 2023款 EV1 仓栅车 3.18米 38.016kWh,骏航EV 2023款 EV1 厢式车 3.18米 38.016kWh,骏航EV 2023款 EV1 栏板车 3.3米 38.016kWh,骏航EV 2023款 EV1 仓栅车 3.3米 38.016kWh,骏航EV 2023款 EV1 厢式车 3.3米 38.016kWh,骏航EV 2023款 EV1 栏板车 2.8米 双排 38.016kWh,骏航EV 2023款 EV1 仓栅车 2.8米 双排 38.016kWh,骏航EV 2023款 EV1 栏板车 3.18米 41.932kWh,骏航EV 2023款 EV1 仓栅车 3.18米 41.932kWh,骏航EV 2023款 EV1 厢式车 3.18米 41.932kWh,骏航EV 2023款 EV1 栏板车 3.3米 41.932kWh,骏航EV 2023款 EV1 仓栅车 3.3米 41.932kWh,骏航EV 2023款 EV1 厢式车 3.3米 41.932kWh,骏航EV 2023款 EV2 栏板车 3.7米 58.906kWh,骏航EV 2023款 EV2 仓栅车 3.7米 58.906kWh,骏航EV 2023款 EV2 厢式车 3.7米 58.906kWh
车前雾灯,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3180x1680x360,3180x1680x360,3180x1670x1850,3300x1680x360,3300x1680x360,3300x1670x1850,2800x1680x360,2800x1680x360,3180x1680x360,3180x1680x360,3180x1670x1850,3300x1680x360,3300x1680x360,3300x1670x1850,3700x1820x360,3700x1820x360,3700x1820x1750
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
