Feature,60102,63092,63093,63094,63565
高度(mm),1599,1599,1599,1599,1599
驾驶辅助影像,,,,,
驾驶模式切换,,-,,,
驻车制动类型,,,,,
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4218,4218,4218,4218,4218
长*宽*高(mm),4218*1760*1599,4218*1760*1599,4218*1760*1599,4218*1760*1599,4218*1760*1599
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压
近光灯光源,,,,,
轴距(mm),2651,2651,2651,2651,2651
轮圈材质,,,,,
转向辅助灯,●,-,-,●,●
车顶行李架,●,●,●,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,途铠 2023款 300TSI DSG豪华版,途铠 2023款 改款 1.5L 手动风尚版,途铠 2023款 改款 1.5L 自动风尚版,途铠 2023款 改款 1.5L 自动舒适版,途铠 2023款 300TSI DSG舒适版
车前雾灯,,-,-,,
车内环境氛围灯,,-,-,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,-,-,,
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,●,-,-,●,●
能量回收系统,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,7挡干式双离合,5挡手动,6挡手自一体,6挡手自一体,7挡干式双离合
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),22,22,22,22,22
疲劳驾驶提示,●,-,-,-,-
电动座椅记忆功能,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
温度分区控制,●,-,-,-,-
液晶仪表尺寸,,,,,
油箱容积(L),42.5,42.5,42.5,42.5,42.5
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,4,4,4,4
最高车速(km/h),190,185,182,182,190
最大马力(Ps),160,110,110,110,160
最大满载质量(kg),1765,1645,1705,1705,1765
最大扭矩转速(rpm),1750-4000,4100,4100,4100,1750-4000
最大扭矩(N·m)_y,250,141,141,141,250
最大扭矩(N·m)_x,250,141,141,141,250
最大功率转速(rpm),5500,6200,6200,6200,5500
最大功率(kW)_y,118,81,81,81,118
最大功率(kW)_x,118,81,81,81,118
最大净功率(kW),118,81,81,81,118
