Feature,1016633,1016634,1016635,1016636,1016637,1016638,1016639,1016640,1017181,1017182,1017183
高度(mm),1705,1705,1705,1705,1900,1900,1900,1900,1680,1680,1980
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3555,3820,3555,3820,3555,3820,3555,3820,3820,3820,3820
长*宽*高(mm),3555*1480*1705,3820*1480*1705,3555*1480*1705,3820*1480*1705,3555*1480*1900,3820*1480*1900,3555*1480*1900,3820*1480*1900,3820*1480*1680,3820*1480*1680,3820*1480*1980
钥匙类型,,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,
进气形式,-,-,-,-,-,-,-,-,-,-,-
近光灯光源,,,,,,,,,,,
轴距(mm),2220,2450,2220,2450,2220,2450,2220,2450,2450,2450,2450
轮圈材质,,,,,,,,,,,
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,皮卡,皮卡,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,皮卡,皮卡,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,2023款 120km 标轴 栏板 奋斗型,2023款 120km 长轴 栏板 奋斗型,2023款 140km 标轴 栏板 进取型,2023款 140km 长轴 栏板 进取型,2023款 120km 标轴 厢式 奋斗型,2023款 120km 长轴 厢式 奋斗型,2023款 140km 标轴 厢式 进取型,2023款 140km 长轴 厢式 进取型,MINI卡 2023款 120km 皮卡 长轴 栏板 奋斗型,MINI卡 2023款 140km 皮卡 长轴 栏板 进取型,MINI卡 2023款 125km 翼展专用车
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
