Feature,1017321,1017322,1017323,1017324,1017325,1017326,1017327,1017328,1017526,1018096
高度(mm),2125,2125,2060,2060,2135,2075,2125,2140,2780,2685
驾驶辅助影像,-,-,-,-,-,-,-,-,-,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,
驱动电机数,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),5790,5990,5730,5630,5795,5930,5795,5960,5795,5730
长*宽*高(mm),5790*1780*2125,5990*1850*2125,5730*1850*2060,5630*1850*2060,5795*1850*2135,5930*1850*2075,5795*1850*2125,5960*1850*2140,5795*1850*2780,5730*1850*2685
钥匙类型,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,
轴距(mm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
轮圈材质,-,-,-,-,-,-,-,-,-,
转向辅助灯,-,-,-,-,-,-,-,-,-,●
车门数(个),,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-
车型名称,2023款 2.0L 汽油双排双后轮2.85米,2023款 2.0L 汽油双排双后轮3.07米,2023款 1.6L CNG单排3.7米,2023款 1.6L CNG双排3.05米,2023款 2.0L CNG单排3.7米,2023款 2.0L CNG双排3.05米,2023款 2.0L 柴油单排3.7米,2023款 2.0L 柴油双排排3.05米,2023款 2.0L 柴油单排3.7米厢式车,跨越王X7 2024款 1.6L CNG单排双后轮3.7米领先版
车前雾灯,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),2850x1750x380,3050x1750x360,3700x1750x380,3050x1750x380,3700x1750x380,3050x1750x380,3700x1750x380,3050x1750x380,3700x1750x1750,3685x1800x1750
语音识别控制系统,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,CNG,CNG,CNG,CNG,柴油,柴油,柴油,CNG
能源类型_x,汽油,汽油,CNG,CNG,CNG,CNG,柴油,柴油,柴油,CNG
胎压监测功能,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,-,-,-,-,-,-,-,-,-,-
缸体材料,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
电芯品牌,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-
电动机总功率(Ps),-,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
