Feature,61839,61993,61994,62131,62323,62324,65522,65523,65524,68586,68587
高度(mm),1792,1792,1792,1792,1792,1792,1792,1792,1792,1788,1788
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动方式,,,,,,,,,,,
首任车主质保政策,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
面部识别,●,-,●,●,-,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
防侧翻系统,-,-,-,-,-,-,-,-,-,●,●
长度(mm),4970,4970,4970,4970,4970,4970,4970,4970,4970,4970,4970
长*宽*高(mm),4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1792,4970*1940*1788,4970*1940*1788
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,-,-
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,-,-
远程启动功能,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,-,-
轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
轮圈材质,,,,,,,,,,,
转向辅助灯,●,-,●,●,-,●,●,●,●,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,-,-
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,-,●,●,-,●,●,●,●,-,-
车载智能系统,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车机智能芯片,,,,,,,,,,-,-
车型名称,星途揽月 2023款 400T 四驱星睿版 7座,星途揽月 2023款 400T 四驱星耀版 7座,星途揽月 2023款 400T 两驱星睿版 6座,星途揽月 2023款 400T 四驱星尊版 6座,星途揽月 2023款 400T 两驱星耀版 7座,星途揽月 2023款 400T 四驱星尊版 7座,星途揽月 2024款 国际版 400T 四驱星睿 7座,星途揽月 2024款 国际版 400T 四驱星尊 7座,星途揽月 2024款 国际版 400T 四驱星尊 6座,星途揽月 2024款 探享版 400T 两驱星光 7座,星途揽月 2024款 探享版 400T 四驱星光 7座
车前雾灯,,,,,,,,,,,
车内香氛装置,-,-,-,●,-,●,-,●,●,-,-
车内生物监测系统,●,-,●,●,-,●,●,●,●,●,●
车内环境氛围灯,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,-,●,●,-,●,●,●,●,-,-
语音连续识别,●,●,●,●,●,●,●,●,●,●,●
