Feature,1015945,1017393,1019719,1019720,1020393,1020521,1020522,1020523,1020524,1020525,1020526,1020527,1020563,1020564,1020565
高度(mm),1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
驾驶辅助影像,-,,,,-,-,,,,,,,-,,-
驾驶模式切换,-,-,,,,,,,,,,,,,
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,-,-,-
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4500,4495,4500,4500,4495,4500,4500,4540,4540,4540,4540,4540,4495,4495,4495
长*宽*高(mm),4500*1680*1990,4495*1680*1990,4500*1680*1990,4500*1680*1990,4495*1680*1990,4500*1680*1990,4500*1680*1990,4540*1680*1990,4540*1680*1990,4540*1680*1990,4540*1680*1990,4540*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990
钥匙类型,,,,,,-,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,-,,,,,,,,,,,,,,
进气形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
近光灯光源,-,,,,,,,,,,,,,,
轴距(mm),2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925,2925
轮圈材质,,,,,,-,-,-,-,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,客车,客车,客车,客车,货车,货车,客车,客车,货车,客车,客车,货车,客车,客车
车身结构_x,货车,客车,客车,客车,客车,货车,货车,客车,客车,货车,客车,客车,货车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
