Feature,62860,62861,62862,62863,62864,63527,64151,64152,64153,64531,65084,66568
高度(mm),1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
驾驶辅助影像,,-,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,
首任车主质保政策,,,,,,,-,-,-,-,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4595,4595,4595,4595,4595,4595,4565,4565,4565,4565,4595,4595
长*宽*高(mm),4595*1860*1690,4595*1860*1690,4595*1860*1690,4595*1860*1690,4595*1860*1690,4595*1860*1690,4565*1860*1690,4565*1860*1690,4565*1860*1690,4565*1860*1690,4595*1860*1690,4595*1860*1690
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,-,-,-,●,-,-,●,●,-,-,-
透明底盘/540度影像,●,-,○,●,●,○,-,-,-,-,●,●
远程启动功能,,-,-,,,-,,,,,-,-
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
运动风格座椅,●,-,-,●,●,-,-,-,-,-,-,-
辅助驾驶芯片,,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,,-,-,-,,-,-,,,-,-,-
轴距(mm),2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715
轮圈材质,,,,,,,,,,,,
车顶行李架,-,-,-,●,●,-,●,●,●,●,-,-
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,-,-,●,-,●,●,●,●,-,-
车道保持辅助系统,●,-,-,-,●,-,-,●,●,-,-,-
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,-
车载冰箱,-,-,-,-,-,●,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,-,-,●,●,-,●,●,●,●,-,-
车窗防夹手功能,●,-,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,-,,,,,,,,,,
车型名称,风行T5 EVO 2024款 狂飚版 1.5TD DCT马赫荣耀款,风行T5 EVO 2024款 狂飚版 1.5TD DCT黄金款,风行T5 EVO 2024款 狂飚版 1.5TD DCT铂金款,风行T5 EVO 2024款 狂飚版 1.5TD DCT马赫钻石款,风行T5 EVO 2024款 狂飚版 1.5TD DCT马赫星耀款,风行T5 EVO 2024款 狂飚版 1.5TD DCT定制款,风行T5 EVO 2023款 1.5TD DCT钻石版,风行T5 EVO 2023款 1.5TD DCT星耀版,风行T5 EVO 2023款 1.5TD DCT荣耀版,风行T5 EVO 2024款 1.5TD DCT尊享版,风行T5 EVO 2024款 1.5TD DCT星空版,风行T5 EVO 2024款 1.5TD DCT璀璨版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,●,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,-,-,-,-,,-,-,-
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,●,●,●,●,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,,-,-
