Feature,1020269,1020270,1020271,1020272,1020273,1020274,1020275,1020276,1020277,1020278,1020279,1020280,1020323,1020324,1020325,1020326,1020327,1020328,1020329,1020330,1020619,1020620,1020621,1020622
高度(mm),1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
驾驶辅助影像,-,-,,-,-,,-,-,,-,-,,-,,-,,-,,-,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495
长*宽*高(mm),4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990,4495*1680*1990
钥匙类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,货车,货车,客车,客车
车身结构_x,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,货车,货车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,跨越星V5 EV 2025款 智享型厢车 2座 宁德时代,跨越星V5 EV 2025款 舒适型厢车 2座 宁德时代,跨越星V5 EV 2025款 豪华型厢车 2座 宁德时代,跨越星V5 EV 2025款 智享型厢车 5座 宁德时代,跨越星V5 EV 2025款 舒适型厢车 5座 宁德时代,跨越星V5 EV 2025款 豪华型厢车 5座 宁德时代,跨越星V5 EV 2025款 智享型客车 6座 宁德时代,跨越星V5 EV 2025款 舒适型客车 6座 宁德时代,跨越星V5 EV 2025款 豪华型客车 6座 宁德时代,跨越星V5 EV 2025款 智享型客车 7座 宁德时代,跨越星V5 EV 2025款 舒适型客车 7座 宁德时代,跨越星V5 EV 2025款 豪华型客车 7座 宁德时代,跨越星V5 EV 2025款 智享型厢车 2座 中创新航,跨越星V5 EV 2025款 豪华型厢车 2座 中创新航,跨越星V5 EV 2025款 智享型厢车 5座 中创新航,跨越星V5 EV 2025款 豪华型厢车 5座 中创新航,跨越星V5 EV 2025款 智享型客车 6座 中创新航,跨越星V5 EV 2025款 豪华型客车 6座 中创新航,跨越星V5 EV 2025款 智享型客车 7座 中创新航,跨越星V5 EV 2025款 豪华型客车 7座 中创新航,跨越星V5 EV 2025款 旗舰版厢车 2座 中创新航,跨越星V5 EV 2025款 旗舰版厢车 5座 中创新航,跨越星V5 EV 2025款 旗舰版客车 6座 中创新航,跨越星V5 EV 2025款 旗舰版客车 7座 中创新航
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
