Feature,1019283,1019284,1019285,1019286,1019287,1019288,1019289,1019290,1019291,1019292,1019293,1019294,1019295,1019296,1020470
高度(mm),1998,1998,1998,2030,2030,2030,2035,2035,2030,2030,2035,2035,2030,2030,2420
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4998,4998,4998,5364,5364,5364,4998,4998,5364,5364,4998,4998,5364,5364,5364
长*宽*高(mm),4998*2030*1998,4998*2030*1998,4998*2030*1998,5364*2030*2030,5364*2030*2030,5364*2030*2030,4998*2030*2035,4998*2030*2035,5364*2030*2030,5364*2030*2030,4998*2030*2035,4998*2030*2035,5364*2030*2030,5364*2030*2030,5364*2030*2420
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
轴距(mm),3000,3000,3000,3366,3366,3366,3000,3000,3366,3366,3000,3000,3366,3366,3366
轮圈材质,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●
车道保持辅助系统,○,○,○,○,○,○,○,○,○,○,-,○,-,○,○
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,○,○,○,○,○,○,●,●,●,●,○,○,○,○,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,依维柯聚星 2025款 C30客货车 2.0T 93KW手动星途版,依维柯聚星 2025款 C30客货车 2.0T 110KW手动星途版,依维柯聚星 2025款 C30客货车 2.0T 110KW自动星途版,依维柯聚星 2025款 C33客货车 2.0T 93KW手动星途版,依维柯聚星 2025款 C33客货车 2.0T 110KW手动星途版,依维柯聚星 2025款 C33客货车 2.0T 110KW自动星途版,依维柯聚星 2025款 B30客车 2.0T 110KW手动星辉版,依维柯聚星 2025款 B30客车 2.0T 110KW自动星辉版,依维柯聚星 2025款 B33客车 2.0T 110KW手动星辉版,依维柯聚星 2025款 B33客车 2.0T 110KW自动星辉版,依维柯聚星 2025款 V30厢式运输车 2.0T 93KW手动星途版,依维柯聚星 2025款 V30厢式运输车 2.0T 110KW自动星途版,依维柯聚星 2025款 V33厢式运输车 2.0T 93KW手动星途版,依维柯聚星 2025款 V33厢式运输车 2.0T 110KW自动星途版,依维柯聚星 2025款 B33M营运客车 2.0T 110KW自动星辉版
车前雾灯,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,,,,,,,,,,,,,,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,●,-,-,●,-,●,-,●,-,●,-,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,,,,,,,,,,,,,,,
缸盖材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,9挡自动,6挡手动,6挡手动,9挡自动,6挡手动,9挡自动,6挡手动,9挡自动,6挡手动,9挡自动,6挡手动,9挡自动,9挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,○,○,○,○,-,-,-,-,○
疲劳驾驶提示,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),156,160,160,156,160,160,160,160,160,160,156,160,156,160,160
最小转弯半径(m),6.05,6.05,6.05,6.7,6.7,6.7,6.05,6.05,6.7,6.7,6.05,6.05,6.7,6.7,6.7
最大马力(Ps),126,150,150,126,150,150,150,150,150,150,126,150,126,150,150
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1600-2600,1500-2400,1500-2400,1600-2600,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,1500-2400,1600-2600,1500-2400,1600-2600,1500-2400,1500-2400
最大扭矩(N·m)_y,320,375,375,320,375,375,375,375,375,375,320,375,320,375,375
最大扭矩(N·m)_x,320,375,375,320,375,375,375,375,375,375,320,375,320,375,375
最大功率转速(rpm),3200,3500,3500,3200,3500,3500,3500,3500,3500,3500,3200,3500,3200,3500,3500
最大功率(kW)_y,93,110,110,93,110,110,110,110,110,110,93,110,93,110,110
最大功率(kW)_x,93,110,110,93,110,110,110,110,110,110,93,110,93,110,110
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
方向盘位置调节,,,,,,,,,,,,,,,
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
挡位个数,6,6,9,6,6,9,6,9,6,9,6,9,6,9,9
扬声器数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,,,,,,,,,,,,,,,
感应雨刷功能,,,,,,,,,,,,,,,
座椅材质,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,
并线辅助,○,○,○,○,○,○,●,●,●,●,○,○,○,○,●
巡航系统,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,
备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756
后轮胎规格,,,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●
后悬架类型,,,,,,,,,,,,,,,
后座出风口,○,○,○,○,○,○,●,●,●,●,-,-,-,-,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT)
变速箱,6挡手动,6挡手动,9挡自动,6挡手动,6挡手动,9挡自动,6挡手动,9挡自动,6挡手动,9挡自动,6挡手动,9挡自动,6挡手动,9挡自动,9挡自动
发动机型号,SC20M125.1Q6,SC20M150Q6,SC20M150Q6,SC20M125.1Q6,SC20M150Q6,SC20M150Q6,SC20M150Q6,SC20M150Q6,SC20M150Q6,SC20M150Q6,SC20M125.1Q6,SC20M150Q6,SC20M125.1Q6,SC20M150Q6,SC20M150Q6
