Feature,1009159,1009160,1015743,1015744,1015745
高度(mm),1811,1849,1811,1811,1849
驾驶辅助影像,-,-,-,-,-
驾驶模式切换,-,-,-,-,-
驻车制动类型,-,-,-,-,-
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4358,4606,4358,4358,4606
长*宽*高(mm),4358×1503×1811,4606×1503×1849,4358×1503×1811,4358×1503×1811,4606×1503×1849
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
轴距(mm),2950,2950,2950,2950,2950
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车联网,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-
车型名称,五菱之光小卡 2020款 1.2L 单排,五菱之光小卡 2020款 1.2L 双排,五菱之光小卡 2023款 1.5L 单排LAR,五菱之光小卡 2023款 1.5L 单排重载版LAR,五菱之光小卡 2023款 1.5L 双排LAR
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-
车内化妆镜,-,-,-,-,-
车内中控锁,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2501x1424x362,2000x1424x362,2501x1424x360,2501x1424x360,2000x1424x360
语音识别控制系统,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
疲劳驾驶提示,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-
电动后备厢,-,-,-,-,-
