Feature,60954,62662,62663,62664,62665,62666,62724,65791,65792,65793,67275
高度(mm),1638,1638,1638,1638,1638,1638,1670,1670,1670,1670,1638
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,,,,,-
驻车制动类型,,,,,,,,,,,
驱动电机数,-,-,-,-,-,-,双电机,单电机,单电机,双电机,-
驱动方式,,,,,,,,,,,
首任车主质保政策,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785
长*宽*高(mm),4785*1920*1638,4785*1920*1638,4785*1920*1638,4785*1920*1638,4785*1920*1638,4785*1920*1638,4785*1920*1670,4785*1920*1670,4785*1920*1670,4785*1920*1670,4785*1920*1638
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,●,-,●,●,-,●,●,-
透明底盘/540度影像,-,-,-,-,-,-,●,-,-,-,-
远程启动功能,,-,-,,-,,,-,,,-
远光灯光源,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,
轴距(mm),2815,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815
轮圈材质,,,,,,,,,,,
车顶行李架,●,-,-,-,-,●,●,-,●,●,-
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
