Feature,1016129,1016130,1016131,1016132,1016133,1016134,1016137,1016138,1016139,1016140,1016141,1016142,1016143,1016144,1016240,1016241,1016242,1016243,1016419,1016420,1016421,1016422
高度(mm),1683,1683,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1800,1800,1800,1800
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,,,,,,,,,,,,,,,,,,,,
长度(mm),5403,5523,5403,5403,5403,5403,5403,5403,5403,5403,5520,5520,5520,5520,5130,5130,5130,5130,5520,5520,5520,5520
长*宽*高(mm),5403*1720*1683,5523×1720×1683,5403*1800*1730,5403*1800*1730,5403*1800*1730,5403*1800*1730,5403*1800*1730,5403*1800*1730,5403*1800*1730,5403*1800*1730,5520*1800*1730,5520*1800*1730,5520*1800*1730,5520*1800*1730,5130*1800*1730,5130*1800*1730,5130*1800*1730,5130*1800*1730,5520*1800*1800,5520*1800*1800,5520*1800*1800,5520*1800*1800
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3050,3050,3050,3050,3350,3350,3350,3350
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
