Feature,50821,51814,51914,51915,52437,52438,52439,52440,59421,59456,61802,61803,62872,64583,64584
高度(mm),1730,1730,1730,1730,1730,1730,1730,1725,1730,1730,1722,1722,1730,1722,1722
驾驶辅助影像,,,,,-,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,双电机,-,-,-,双电机,-,-
驱动方式,前置四驱,前置四驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,-,●,-,-,-,●,●,-,-,-,●,-,-
长度(mm),4681,4681,4681,4681,4681,4681,4681,4681,4681,4681,4675,4675,4681,4675,4675
长*宽*高(mm),4681*1840*1730,4681*1840*1730,4681*1840*1730,4681*1840*1730,4681*1840*1730,4681*1840*1730,4681*1840*1730,4681*1840*1725,4681*1840*1730,4681*1840*1730,4675*1820*1722,4675*1820*1722,4681*1840*1730,4675*1820*1722,4675*1820*1722
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,-,●,●,●,●,●,-,-,●,-,-
道路交通标识识别,●,●,●,●,-,-,●,●,●,-,-,-,●,-,-
远程启动功能,,,,,-,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,
辅助驾驶系统,,,,,-,-,,,,-,-,-,,-,-
辅助驾驶等级,,,,,-,-,,,,-,-,-,,-,-
