Feature,51413,55730,57006,60568,61417,64326,65988,65989,65990,65991,65992
高度(mm),1728,1728,1739,1739,1728,1739,1728,1739,1728,1728,1739
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
长度(mm),5144,5125,5305,5305,5125,5305,5125,5305,5144,5125,5305
长*宽*高(mm),5144*1998*1728,5125*1998*1728,5305*1998*1739,5305*1998*1739,5125*1998*1728,5305*2222*1739,5125*1998*1728,5305*1998*1739,5144*1998*1728,5125*1998*1728,5305*1998*1739
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,●,○,●,●,○,○,○,●,●
远光灯光源,,,,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,,,,
运动风格座椅,●,-,-,-,-,-,-,-,●,-,-
运动外观套件,●,-,-,-,-,-,-,-,●,-,-
辅助驾驶等级,,,,,,,,,,,
轴距(mm),2995,2995,3175,3175,2995,3175,2995,3175,2995,2995,3175
轮圈材质,,,,,,,,,,,
转向头灯,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,○,●,○,●,●,○,○,○,●,●
车道偏离预警系统,○,○,●,○,●,●,○,○,○,●,●
车道保持辅助系统,○,○,●,○,●,●,○,○,○,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●
车载电视,-,○,○,○,○,○,○,○,-,○,○
车载冰箱,○,○,○,○,○,○,○,○,○,○,○
车载CD/DVD,-,,,,,,,,-,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,添越 2022款 4.0T V8 S,添越 2022款 4.0T V8,添越 2023款 4.0T V8 长轴距雅度版,添越 2023款 4.0T V8 长轴距版,添越 2023款 4.0T V8 雅度版,添越 2024款 4.0T V8 长轴距MULLINER版,添越 2024款 4.0T V8,添越 2024款 4.0T V8 长轴距版,添越 2024款 4.0T V8 S,添越 2024款 4.0T V8 雅度版,添越 2024款 4.0T V8 长轴距雅度版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,-,,,,,,,,-,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●,●,●,●,●
