Feature,39550,39641,39642,40067,40068,40069,40070,40071,41429,45416,45417,45418,45419,45420,45421
高度(mm),1573,1573,1573,1560,1560,1560,1573,1573,1573,1573,1573,1573,1573,1573,1573
驻车制动类型,电子驻车,电子驻车,电子驻车,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440
长*宽*高(mm),4440*1833*1573,4440*1833*1573,4440*1833*1573,4440*1833*1560,4440*1833*1560,4440*1833*1560,4440*1833*1573,4440*1833*1573,4440*1833*1573,4440*1833*1573,4440*1833*1573,4440*1833*1573,4440*1833*1573,4440*1833*1573,4440*1833*1573
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●
进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,●,●,-,-,-,-,-,●,-,-,-,-,●,●,●
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●
车道保持辅助系统,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●
车载空气净化器,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,帝豪GS 2019款 1.5TD DCT动Pro 260T,帝豪GS 2019款 1.4T CVT动,帝豪GS 2019款 1.4T CVT雅,帝豪GS 2019款 1.8L 手动风尚型,帝豪GS 2019款 1.8L 手动领尚型,帝豪GS 2019款 1.8L DCT领尚型,帝豪GS 2019款 1.4T 手动雅,帝豪GS 2019款 1.5TD DCT动 260T,帝豪GS 2019款 1.4T CVT雅 Pro,帝豪GS 2020款 1.4T 手动雅,帝豪GS 2020款 1.4T CVT雅,帝豪GS 2020款 1.4T 手动雅life,帝豪GS 2020款 1.4T CVT动,帝豪GS 2020款 1.5TD DCT动 260T,帝豪GS 2020款 1.5TD DCT动 Pro 260T
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
