Feature,1014855,1016668,1017052,1017053
高度(mm),1990,1990,1990,1990
驾驶辅助影像,,,,
驾驶模式切换,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-
长度(mm),4860,4860,4860,4860
长*宽*高(mm),4860*1750*1990,4860*1750*1990,4860*1750*1990,4860*1750*1990
钥匙类型,,,,
远光灯光源,,,,
近光灯光源,,,,
轴距(mm),3160,3160,3160,3160
轮圈材质,,,,
车门数(个),4,4,4,4
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车身结构_y,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车联网,-,-,-,-
车窗防夹手功能,-,-,-,-
车窗一键升降功能,-,-,-,-
车型名称,2023款 智享版 41.86kWh,2023款 智行版 41.86kWh,金琥EV48 2023款 智行版 38.64kWh,金琥EV48 2023款 智享版 38.64kWh
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,-,-,-,-
车内中控锁,-,-,-,-
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-
语音识别控制系统,-,-,-,-
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,-,-,
缺气保用轮胎,-,-,-,-
级别,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
百公里耗电量(kWh/100km),-,-,-,-
疲劳驾驶提示,-,-,-,-
电池组质保,八年或40万公里,八年或40万公里,八年或40万公里,八年或40万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),41.86,41.86,38.64,38.64
电池充电时间,-,-,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置
电动机总扭矩(N·m),220,220,220,220
电动机总功率(kW),60,60,60,60
电动机(Ps),82,82,82,82
电动座椅记忆功能,-,-,-,-
电动后备厢,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-
温度分区控制,-,-,-,-
液晶仪表尺寸,-,-,-,-
最高车速(km/h),100,100,100,100
最小离地间隙(mm),155,155,155,155
最大载重质量(kg),1375,1375,1375,1375
最大扭矩(N·m),220,220,220,220
最大功率(kW),60,60,60,60
无钥匙进入功能,-,-,-,-
无钥匙启动系统,-,-,-,-
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1495,1495,1480,1480
挡位个数,1,1,1,1
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
手机无线充电功能,-,-,-,-
手机互联/映射,-,-,-,-
慢充时间(小时),14,14,14,14
感应雨刷功能,-,-,-,-
快充电量百分比,-,-,-,-
快充电量(%),-,-,-,-
快充时间(小时),0.75,0.75,0.75,0.75
座椅材质,,,,
座位数(个),2,2,2,2
并线辅助,-,-,-,-
工信部续航里程(km),-,-,-,-
工信部纯电续航里程(km),-,-,-,-
巡航系统,-,-,-,-
导航路况信息显示,-,-,-,-
宽度(mm),1750,1750,1750,1750
安全带未系提醒,,,,
