Feature,1005226,1005227,1007575,1007576
高度(mm),1920,1920,1920,1920
驾驶辅助影像,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-
限滑差速器/差速锁,-,-,-,-
长度(mm),4330,4330,4330,4330
长*宽*高(mm),4330×1650×1920,4330×1650×1920,4330×1650×1920,4330×1650×1920
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-
远光灯光源,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),2850,2850,2850,2850
轮圈材质,,,,
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),5,5,5,5
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车载CD/DVD,-,-,-,-
车身结构_y,货车,货车,客车,客车
车身结构_x,货车,货车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车窗防夹手功能,-,-,-,-
车型名称,成功V2 2017款 1.3L双盲窗HH413Q/P-A,成功V2 2017款 1.3L单盲窗HH413Q/P-A,成功V2 2019款 1.3L舒适型HH413Q/P-A,成功V2 2019款 1.3L标准型HH413Q/P-A
车前雾灯,,,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,-,-,-,-
车内中控锁,●,●,-,-
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-
行车电脑显示屏幕,-,-,-,-
行程(mm),82,82,82,82
蓝牙/车载电话,-,-,-,-
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
能源类型,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),69.7,69.7,69.7,69.7
缸体材料,未知,未知,未知,未知
级别,微面,微面,微面,微面
简称,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,-
空气悬架,-,-,-,-
电动座椅记忆功能,-,-,-,-
电动吸合车门,-,-,-,-
电动后备厢位置记忆,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-
燃油标号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-
油箱容积(L),40,40,40,40
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),-,-,-,-
最小离地间隙(mm),-,-,160,160
最大马力(Ps),87,87,87,87
最大载重质量(kg),-,-,-,-
最大扭矩转速(rpm),-,-,3000-4000,3000-4000
最大扭矩(N·m)_y,127,127,127,127
最大扭矩(N·m)_x,127,127,127,127
最大功率转速(rpm),6000,6000,6000,6000
最大功率(kW)_y,64,64,64,64
最大功率(kW)_x,64,64,64,64
无钥匙进入功能,-,-,-,-
无钥匙启动系统,-,-,-,-
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,-,-,-,-
整车质保,-,-,-,-
整备质量(kg),-,-,-,-
排量(mL),1300,1300,1300,1300
挡位个数,5,5,5,5
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
感应雨刷功能,-,-,-,-
感应后备厢,-,-,-,-
座椅材质,,,,
座位数(个),2,5,7,7
并线辅助,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-
巡航系统,-,-,-,-
宽度(mm),1650,1650,1650,1650
安全带未系提醒,,,,
天窗类型,-,-,-,-
大灯高度可调,-,-,-,-
大灯清洗装置,-,-,-,-
多媒体/充电接口,,,,
多功能方向盘,-,-,-,-
外后视镜功能,-,-,-,-
后风挡遮阳帘,-,-,-,-
后雨刷,-,-,-,-
后轮距(mm),1410,1410,1410,1410
后轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-,-
后排杯架,-,-,-,-
后排座椅电动调节,-,-,-,-
后排座椅放倒形式,-,,,
后排座椅功能,-,-,-,-
后排侧隐私玻璃,-,-,-,-
后排侧窗遮阳帘,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-
可变悬架功能,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-
发动机型号,HH413Q/P-A,HH413Q/P-A,HH413Q/P-A,HH413Q/P-A
发动机启停技术,-,-,-,-
发动机,1.3L 87马力 L4,1.3L 87马力 L4,1.3L 87马力 L4,1.3L 87马力 L4
压缩比,10,10,10,10
厂商指导价(元),4.18万,4.08万,4.20万,3.90万
厂商,成功汽车,成功汽车,成功汽车,成功汽车
卫星导航系统,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力
副座椅调节方式,,,,
前轮距(mm),1390,1390,1390,1390
前轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14
前排座椅功能,-,-,-,-
前悬架类型,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-
前/后排头部气囊(气帘),-,-,-,-
前/后排侧气囊,-,-,-,-
前/后中央扶手,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●
内后视镜功能,,,,
