Feature,57857,57858,57859,57860,59911,59912,59913,59914,61764,61765,61766,61767,62366,62367
高度(mm),1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989
驾驶辅助影像,,,,,,,,,,,,,,
驾驶模式切换,-,,-,,-,,-,,-,,-,,,
驻车制动类型,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,,,-,-,,,-,-,,,-,
长度(mm),5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252
长*宽*高(mm),5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
轴距(mm),3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150
轮圈材质,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,
车型名称,帕拉索 2022款 2.0T 手动两驱智尊型,帕拉索 2022款 2.0T 自动两驱智尊型,帕拉索 2022款 2.0T 手动四驱智尊型,帕拉索 2022款 2.0T 自动四驱智尊型,帕拉索 2022款 2.0T 手动两驱尊雅型,帕拉索 2022款 2.0T 自动两驱尊雅型,帕拉索 2022款 2.0T 手动四驱尊雅型,帕拉索 2022款 2.0T 自动四驱尊雅型,帕拉索 2023款 2.0T 手动两驱尊贵型,帕拉索 2023款 2.0T 自动两驱尊贵型,帕拉索 2023款 2.0T 手动四驱尊贵型,帕拉索 2023款 2.0T 自动四驱尊贵型,帕拉索 2023款 2.0T 自动两驱优享型,帕拉索 2023款 2.0T 自动四驱尊享型
车前雾灯,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,,,,,,,,,,,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
语音识别控制系统,,,,,,,,,,,,,,
