Feature,1018638,1018639,1018640,1018641,1018642,1018643,1018644
高度(mm),3120,3120,3120,3260,3120,3120,3120
驾驶辅助影像,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-
驻车制动类型,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
长度(mm),5995,5995,5995,5995,5995,5995,5995
长*宽*高(mm),5995*2200*3120,5995*2200*3120,5995*2200*3120,5995*2300*3260,5995*2200*3120,5995*2200*3120,5995*2200*3120
钥匙类型,-,-,-,-,-,-,-
远光灯光源,-,-,-,-,-,-,-
近光灯光源,-,-,-,-,-,-,-
轴距(mm),3360,3360,3360,3360,3360,3360,3360
轮圈材质,-,-,-,-,-,-,-
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-
车型名称,飞碟EW5 2022款 平板 宁德时代  100.27kWh,飞碟EW5 2022款 厢货 宁德时代  100.27kWh,飞碟EW5 2022款 仓栅 宁德时代  100.27kWh,飞碟EW5 2022款 冷藏厢货 宁德时代  100.27kWh,飞碟EW5 2022款 平板 宁德时代电池厂  81.14kWh,飞碟EW5 2022款 厢货 宁德时代电池厂  81.14kWh,飞碟EW5 2022款 仓栅 宁德时代电池厂  81.14kWh
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),4180x2080x2100,4180x2080x2100,4180x2080x400,4085x2100x1900,4180x2080x400,4160x2080x1900,4180x2080x400
语音识别控制系统,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-
级别,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-
电芯品牌,,,,,,,
电池能量(kWh),100.27,100.27,100.27,100.27,81.14,81.14,81.14
电池类型,,,,,,,
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),163,163,163,163,163,163,163
电动机总扭矩(N·m),320,320,320,320,320,320,320
电动机总功率(kW),120,120,120,120,120,120,120
电动机(Ps),163,163,163,163,163,163,163
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-
最高车速(km/h),90,90,90,90,90,90,90
最大载重质量(kg),1200,1200,1200,700,1200,1200,1200
最大满载质量(kg),4495,4495,4495,4495,4495,4495,4495
最大扭矩(N·m),320,320,320,320,320,320,320
最大功率(kW),120,120,120,120,120,120,120
无钥匙进入功能,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-
整备质量(kg),3100,3100,3100,3600,3100,3100,3100
挡位个数,1,1,1,1,1,1,1
扬声器数量,-,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-
