Feature,1019935,1019936,1019937,1019938,1019939,1019940,1019941,1019942,1019943,1019944,1019945,1019946,1020053,1020054,1020055
高度(mm),1985,1985,1985,1995,2280,2280,2295,1985,1985,1985,2280,2280,1985,1985,2280
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4885,5185,5185,5185,5185,5185,5185,4885,5185,5185,5185,5185,4885,5185,5185
长*宽*高(mm),4885*1890*1985,5185*1890*1985,5185*1890*1985,5185*1890*1995,5185*1890*2280,5185*1890*2280,5185*1890*2295,4885*1890*1985,5185*1890*1985,5185*1890*1985,5185*1890*2280,5185*1890*2280,4885*1890*1985,5185*1890*1985,5185*1890*2280
钥匙类型,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,
轴距(mm),3060,3360,3360,3360,3360,3360,3360,3060,3360,3360,3360,3360,3060,3360,3360
轮圈材质,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,E福顺 2025款  盲窗版41.86kwh  短轴低顶3.0吨,E福顺 2025款 盲窗版41.86kwh  中轴低顶3.0吨,E福顺 2025款 盲窗版53.58kwh 中轴低顶3.0吨,E福顺 2025款 盲窗版53.58kwh 中轴低顶3.5吨,E福顺 2025款 盲窗版41.86kwh  中轴中顶3.0吨,E福顺 2025款 盲窗版53.58kwh  中轴中顶3.0吨,E福顺 2025款 盲窗版53.58kwh  中轴中顶3.5吨,E福顺 2025款 盲窗版41.5kwh  短轴低顶3.0吨,E福顺 2025款 盲窗版41.5kwh  中轴低顶3.0吨,E福顺 2025款 盲窗版50.38kwh  中轴低顶3.0吨,E福顺 2025款 盲窗版41.5kwh  中轴中顶3.0吨,E福顺 2025款 盲窗版50.38kwh  中轴中顶3.0吨,E福顺 2025款 明窗版 41.86kwh 短轴低顶,E福顺 2025款 明窗版 53.58kwh 中轴低顶,E福顺 2025款 明窗版 53.58kwh 中轴中顶
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,
货箱尺寸(mm),2780*1745*1380,3070*1745*1380,3070*1745*1380,3070*1745*1380,3070*1745*1670,3070*1745*1670,3070*1745*1670,2780*1745*1380,3070*1745*1380,3070*1745*1380,3070*1745*1670,3070*1745*1670,-,-,-
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
