Feature,58689,58690,58691,61066,61067,61068,61069,61275,62430,63517,63518,63519,63520,66384,66385,66386,66387,66388,66389,66390
高度(mm),1681,1681,1691,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681,1691,1691,1691
驾驶辅助影像,-,,,-,,,,,,-,,,,-,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,
驱动电机数,-,-,-,-,-,-,-,单电机,-,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716,4716
长*宽*高(mm),4716*1866*1681,4716*1866*1681,4716*1866*1691,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1681,4716*1866*1691,4716*1866*1691,4716*1866*1691
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,●,●,-,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●
远程启动功能,-,,,-,,,,,,-,-,-,,-,-,-,,-,-,
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,
辅助驾驶系统,-,,,-,,,,,,-,,,,-,,,,,,
辅助驾驶等级,-,,,-,,,,,,-,,,,-,,,,,,
轴距(mm),2701,2701,2700,2701,2701,2701,2701,2700,2701,2701,2701,2700,2701,2701,2701,2701,2701,2700,2700,2700
轮圈材质,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,-,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●
车道偏离预警系统,-,●,●,-,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●
车道保持辅助系统,-,●,●,-,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●
车载空气净化器,-,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●
车载智能系统,,,,,,,,,,-,-,-,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,
车型名称,皓影 2023款 240TURBO 两驱精英版 5座,皓影 2023款 240TURBO 两驱尊贵版PRO 7座,皓影 2023款 240TURBO 四驱尊享版 5座,皓影 2023款 240TURBO 两驱精英版PRO 7座,皓影 2023款 240TURBO 两驱豪华版 5座,皓影 2023款 240TURBO 两驱豪华版PRO 7座,皓影 2023款 240TURBO 两驱尊贵版 5座,皓影 2023款 e:HEV 四驱至尊版,皓影 2023款 240TURBO 两驱尊耀版 5座,皓影 2023款 e:HEV 两驱豪华版,皓影 2023款 e:HEV 两驱尊贵版,皓影 2023款 e:HEV 四驱尊贵版,皓影 2023款 e:HEV 两驱尊享版,皓影 2024款 e:HEV 两驱豪华版,皓影 2024款 e:HEV 两驱尊贵版,皓影 2024款 e:HEV 两驱尊耀版,皓影 2024款 e:HEV 两驱尊享版,皓影 2024款 e:HEV 四驱尊贵版,皓影 2024款 e:HEV 四驱尊耀版,皓影 2024款 e:HEV 四驱至尊版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
车内化妆镜,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,,,-,,,,,,-,,,,-,,,,,,
负离子发生器,-,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●
