Feature,58503,66475,66476,68250,71692,71693,71694,71695
高度(mm),1620,1620,1620,1620,1620,1620,1620,1620
高压快充,支持,-,支持,支持,-,支持,支持,支持
高压平台（V）,800,-,800,800,-,800,800,800
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,双电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●
长度(mm),4830,4830,4830,4830,4830,4830,4830,4830
长*宽*高(mm),4830*1925*1620,4830*1925*1620,4830*1925*1620,4830*1925*1620,4830*1925*1620,4830*1925*1620,4830*1925*1620,4830*1925*1620
钥匙类型,,,,,,,,
遥控泊车,-,-,-,-,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,-,-,-,-
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
辅助驾驶路段,,-,,-,,,,
辅助驾驶芯片,-,-,-,-,-,-,,
辅助驾驶系统,,,,,,,,
辅助驾驶等级,,,,,,,,
辅助泊车入位,●,●,●,●,●,●,●,●
辅助变道,●,●,●,●,●,●,●,●
辅助匝道自动驶出(入),●,-,●,-,●,●,●,●
轴距(mm),2930,2930,2930,2930,2930,2930,2930,2930
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,
车载KTV,●,-,●,-,-,-,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车机智能芯片,,,,,-,-,-,-
车型名称,海狮07 EV 2024款 550四驱智航版,海狮07 EV 2024款 550标准版,海狮07 EV 2024款 610智航版,海狮07 EV 2024款 610长续航版,海狮07 EV 2025款 550智航版,海狮07 EV 2025款 610智航版,海狮07 EV 2025款 610智驾版,海狮07 EV 2025款 550四驱智驾版
车前雾灯,-,-,-,-,-,-,-,-
车内香氛装置,●,-,●,-,-,-,●,●
车内环境氛围灯,,-,,,-,,,
车内摄像头数量,,,,,,,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,
负离子发生器,●,●,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,
语音助手唤醒词,,,,,,,,
语音分区域唤醒识别,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
芯片总算力,-,-,-,-,-,-,,
自适应远近光,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●
