Feature,66734,66738,66739,66740,66741,66742,69283,69284
高度(mm),1495,1495,1495,1495,1495,1495,1495,1495
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4780,4780,4780,4780,4780,4780,4780,4780
长*宽*高(mm),4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495,4780*1837*1495
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,●,-,●,●,●,-,-
道路交通标识识别,-,-,-,-,-,●,-,-
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●
辅助驾驶系统,-,-,-,-,-,,-,-
辅助驾驶等级,-,-,-,-,-,,-,-
轴距(mm),2718,2718,2718,2718,2718,2718,2718,2718
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,●,-,-
车道偏离预警系统,-,-,-,-,-,●,-,-
车道保持辅助系统,-,-,-,-,-,●,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,
车载KTV,●,●,●,●,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车机系统存储(GB),,,,,,,,
车机系统内存(GB),,,,,,,,
车型名称,驱逐舰05 2024款 荣耀版 DM-i 55KM 豪华型,驱逐舰05 2024款 荣耀版 DM-i 55KM 尊贵型,驱逐舰05 2024款 荣耀版 DM-i 120KM 豪华型,驱逐舰05 2024款 荣耀版 DM-i 120KM 尊贵型,驱逐舰05 2024款 荣耀版 DM-i 120KM 尊荣型,驱逐舰05 2024款 荣耀版 DM-i 120KM 旗舰型,驱逐舰05 2024款 DM-i 55KM 领航荣耀版,驱逐舰05 2024款 DM-i 120KM 领航荣耀版
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,
语音连续识别,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,
语音助手唤醒词,,,,,,,,
语音分区域唤醒识别,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,●,-,-
自动驻车,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),14,14,14,14,14,14,14,14
百公里耗电量(kWh/100km),11.4,11.4,14.5,14.5,14.5,14.5,11.4,14.5
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,
电能当量燃料消耗量(L/100km),1.29,1.29,1.64,1.64,1.64,1.64,-,-
电池预加热,●,●,●,●,●,●,●,●
电池能量(kWh),8.3,8.3,18.3,18.3,18.3,18.3,8.3,18.3
电池类型,,,,,,,,
电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池慢充时间(小时)_y,2.5,2.5,5.5,5.5,5.5,5.5,2.5,5.5
电池慢充时间(小时)_x,2.5,2.5,5.5,5.5,5.5,5.5,2.5,5.5
电池快充电量范围(%)_y,-,-,80,80,80,80,-,80
电池快充电量范围(%)_x,-,-,80,80,80,80,-,80
电池快充时间(小时)_y,-,-,1.1,1.1,1.1,1.1,-,1.1
电池快充时间(小时)_x,-,-,1.1,1.1,1.1,1.1,-,1.1
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),180,180,197,197,197,197,180,197
电动机总扭矩(N·m),316,316,325,325,325,325,316,325
电动机总功率(kW),132,132,145,145,145,145,132,145
电动机(Ps),180,180,197,197,197,197,180,197
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,●,●,-,-
液晶仪表尺寸,-,-,-,-,-,,-,-
油箱容积(L),48,48,48,48,48,48,48,48
气缸数(个),4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
毫米波雷达数量,-,-,-,-,-,,-,-
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),185,185,185,185,185,185,185,185
最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
最大马力(Ps),110,110,110,110,110,110,110,110
最大满载质量(kg),1890,1890,1995,1995,1995,1995,1890,1995
最大扭矩转速(rpm),4500,4500,4500,4500,4500,4500,4500,4500
最大扭矩(N·m)_y,135,135,135,135,135,135,135,135
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,81,81,81,81,81,81,81,81
最大功率(kW)_x,-,-,-,-,-,-,-,-
最大净功率(kW),78,78,78,78,78,78,78,78
最低荷电状态油耗(L/100km)NEDC,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
最低荷电状态油耗(L/100km),4.6,4.6,4.6,4.6,4.6,4.6,-,-
无钥匙进入功能,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●
旋转大屏,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,
整车质保,,,,,,,-,-
整备质量(kg),1515,1515,1620,1620,1620,1620,1515,1620
摄像头数量,,,,,,,,
