Feature,1014979,1014980,1014981,1014982,1014983,1014984,1014985,1014986,1015077,1015078,1015079,1015080,1015081,1015082,1015083,1015084,1015085,1015086,1015087,1015088,1015089,1015090,1015091,1015092,1015519,1015520,1015521,1015522,1015523,1015524,1015525,1015526,1015527,1015528,1016939,1016940,1016941,1016942,1016943,1016944,1016945,1016946
高度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1870,1870,1860,1860,1860,1860,1860,1860,1860,1860
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,,,-,-,,,-,-,,,-,-,,,-,-,,,-,-,,,-,-,,,-,-,,,-,,-,-,,,-,-,,
长度(mm),5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5340,5340,5630,5340,5630,5340,5630,5340,5630
长*宽*高(mm),5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340×1940×1870,5340×1940×1870,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860,5340*1940*1860,5630*1940*1860
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
