Feature,61225,61448,61449,61450,61451,61452,61453,61454,65134
高度(mm),1825,1810,1810,1810,1810,1825,1825,1825,1825
驾驶辅助影像,,-,-,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
首任车主质保政策,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4605,4605,4605,4605,4605,4605,4605,4605,4605
长*宽*高(mm),4605*1815*1825,4605*1815*1810,4605*1815*1810,4605*1815*1810,4605*1815*1810,4605*1815*1825,4605*1815*1825,4605*1815*1825,4605*1815*1825
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,
轴距(mm),2780,2780,2780,2780,2780,2780,2780,2780,2780
轮圈材质,,,,,,,,,
车顶行李架,●,-,-,-,-,●,●,●,●
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,-,-,-,-,-,-,●,●
车联网,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-
车型名称,斯威大虎EDi 2023款 EDi 1.5L 豪华型 7座,斯威大虎EDi 2023款 EDi 1.5L 实用型 5座,斯威大虎EDi 2023款 EDi 1.5L 实用型 7座,斯威大虎EDi 2023款 EDi 1.5L 标准型 5座,斯威大虎EDi 2023款 EDi 1.5L 标准型 7座,斯威大虎EDi 2023款 EDi 1.5L 舒适型 5座,斯威大虎EDi 2023款 EDi 1.5L 舒适型 7座,斯威大虎EDi 2023款 EDi 1.5L 豪华型 5座,SWM斯威大虎EDi 2023款 EDi 1.5L 尊贵型 7座
车前雾灯,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,-,-,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-
自动头灯,●,-,-,-,-,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型_y,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式
能源类型_x,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式
胎压监测功能,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,-,●,-,●,-,●,-,●
第二排座椅调节,,,,,,,,,
空调温度控制方式,,,,,,,,,
离去角(°),26,26,26,26,26,26,26,26,26
百公里耗电量(kWh/100km),11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
疲劳驾驶提示,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,
电能当量燃料消耗量(L/100km),1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
电池预加热,●,●,●,●,●,●,●,●,●
电池能量(kWh),8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
电池类型,,,,,,,,,
电池慢充时间(小时)_y,-,-,-,-,-,-,-,-,3.5
电池慢充时间(小时)_x,-,-,-,-,-,-,-,-,3.5
电池冷却方式,待查,待查,待查,待查,待查,待查,待查,待查,待查
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),210,210,210,210,210,210,210,210,210
电动机总功率(kW),105,105,105,105,105,105,105,105,105
电动机总功率(Ps),143,143,143,143,143,143,143,143,143
电动机(Ps),143,143,143,143,143,143,143,143,143
电动座椅记忆功能,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,-,-,-,-,-,-,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,
气缸数(个),4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),155,155,155,155,155,155,155,155,155
最大马力(Ps),102,102,102,102,102,102,102,102,102
最大满载质量(kg),2125,2125,2125,2125,2125,2125,2125,2125,2125
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,126,126,126,126,126,126,126,126,126
最大扭矩(N·m)_x,210,210,210,210,210,210,210,210,210
最大功率转速(rpm),-,-,-,-,-,-,-,-,-
最大功率(kW)_y,75,75,75,75,75,75,75,75,75
最大功率(kW)_x,105,105,105,105,105,105,105,105,105
最大净功率(kW),70,70,70,70,70,70,70,70,70
最低荷电状态油耗(L/100km),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
无钥匙进入功能,,-,-,,,,,,
无钥匙启动系统,●,-,-,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,
整车质保,,,,,,,,,
整备质量(kg),1600,1600,1600,1600,1600,1600,1600,1600,1600
接近角(°),24,24,24,24,24,24,24,24,24
排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498
换挡形式,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-
手机互联/映射,,-,-,-,-,-,-,,
慢充接口位置,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前
感应雨刷功能,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,
座椅布局,,-,,-,,-,,-,
座位数(个),,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-
巡航系统,,-,-,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-
对外放电,○,-,-,-,-,-,-,○,○
