Feature,62604,62701,62702,62812,64495,65932,66017,67284,67330,67499,67570,67695,67697,68846,69255,69256,69351,70190,70394,70444,70445,70548,70592,71325,72216,72217,72218,72432,72476,72620
高度(mm),1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696
高压快充,-,-,-,-,-,-,-,-,-,-,-,支持,支持,-,-,支持,支持,支持,支持,-,支持,-,-,支持,-,支持,支持,-,-,支持
高压平台（V）,-,-,-,-,-,-,-,-,-,-,-,800,800,400,400,800,800,800,800,400,800,-,-,800,400,800,800,400,400,800
驾驶辅助影像,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
长度(mm),4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720
长*宽*高(mm),4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696,4720*1908*1696
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
遥控泊车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-
道路交通标识识别,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-
远程启动功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-
辅助泊车入位,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,●,-,●,-,-,-,●,-,-,-,-,●,●,●,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-
车道保持辅助系统,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-
车载空气净化器,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,创维EV6 2023款 总裁版,创维EV6 2023款 AIR,创维EV6 2023款 PLUS,创维EV6 2023款 410 精英版,创维EV6 2023款 超充版,创维EV6 2023款 星耀版,创维EV6 2023款 改款 MAX,创维EV6 2024款 儒商版,创维EV6 2024款 410 出行版,创维EV6 2024款 520 豪华版,创维EV6 2024款 520 战神版,创维EV6 2024款 改款 520 闪充版,创维EV6 2024款 520 闪放版,创维EV6 2024款 430 云充版+,创维EV6 2024款 430 极行版,创维EV6 2024款 520 神行版,创维EV6 2024款 520 闪耀版,创维EV6 2024款 520 闪亮版,创维EV6 2024款 520 荣耀版,创维EV6 2024款 430 极耀版,创维EV6 2024款 520 神耀版,创维EV6 2025款 410出行版,创维EV6 2024款 410 文旅-智达版,创维EV6 2025款 520 闪现版,创维EV6 2025款 智驱版AIR,创维EV6 2025款 智驱版PRO,创维EV6 2025款 智驱版MAX,创维EV6 2025款 Z享版,创维EV6 2025款 云充版,创维EV6 2025款 520 行政版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,-,-,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
车内摄像头数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
