Feature,50225,50226,50227,54374,57832,59674,59675,59679,59680,59681
高度(mm),1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
驾驶辅助影像,-,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,
驱动方式,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
长*宽*高(mm),5200*1890*1980,5200*1890*1980,5200*1890*1980,5200*1890*1980,5200*1890*1980,5200*1890*1980,5200*1890*1980,5200*1890*1980,5200*1890*1980,5200*1890*1980
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,
轴距(mm),3080,3080,3080,3080,3080,3080,3080,3080,3080,3080
轮圈材质,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,○,○,○,○,●,○,○,○,○,○
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV
车身稳定控制(ESC/ESP/DSC等),-,○,○,●,●,○,●,○,○,●
车联网,-,○,●,●,●,-,●,○,○,○
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-
车型名称,瑞风M4 2021款 2.0L 手动舒适版,瑞风M4 2021款 2.0L 手动商旅版,瑞风M4 2021款 2.0L 手动商务版,瑞风M4 2022款 2.0TGDI 自动商旅版,瑞风M4 2022款 2.0TGDI 自动行政型,瑞风M4 2022款 2.0L CNG手动商旅型,瑞风M4 2022款 2.0L CNG手动商务型,瑞风M4 2022款 2.0CTI 柴油 手动劲锐型,瑞风M4 2022款 2.0CTI 柴油 手动劲尚型,瑞风M4 2022款 2.0CTI 柴油 手动劲享型
车前雾灯,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,-,○,●,○,●,○,●,○,○,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,●,●,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,-,-,柴油,柴油,柴油
能源类型_x,汽油,汽油,汽油,汽油,汽油,-,-,柴油,柴油,柴油
胎压监测功能,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,铸铁,铸铁,铸铁
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
简称,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动
第二排独立座椅,○,●,●,●,●,●,●,●,●,●
第二排座椅调节,-,,,,,,,,,
空调温度控制方式,,,,,,,,,,
离去角(°),14,14,14,14,14,14,14,14,14,14
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,○,○,●,●,○,●,○,○,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号
满载最小离地间隙(mm),160,160,160,150,150,-,-,150,150,150
温度分区控制,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-
油箱容积(L),70,70,70,70,70,15,15,70,70,70
气罐容积(L),-,-,-,-,-,170,170,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),150,150,150,170,170,140,140,170,170,170
最大马力(Ps),144,144,144,222,222,122,122,150,150,150
最大满载质量(kg),2605,2605,2605,2790,2790,2765,2765,2780,2780,2780
最大扭矩转速(rpm),3600-4400,3600-4400,3600-4400,1500-3500,1500-3500,-,-,1800-2400,1800-2400,1800-2400
最大扭矩(N·m)_y,200,200,200,385,385,175,175,360,360,360
最大扭矩(N·m)_x,200,200,200,385,385,175,175,360,360,360
最大功率转速(rpm),5600,5600,5600,5000,5000,-,-,3600,3600,3600
最大功率(kW)_y,106,106,106,163,163,90,90,110,110,110
最大功率(kW)_x,106,106,106,163,163,90,90,110,110,110
最大净功率(kW),98,98,98,-,-,85,85,107,107,107
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,
整车质保,,,,,,,,,,
整备质量(kg),1930,1930,1930,2115,2115,2090,2090,2105,2105,2105
接近角(°),14,14,14,14,14,14,14,14,14,14
排量(mL),1962,1962,1962,1998,1998,1962,1962,1999,1999,1999
换挡形式,,,,,,,,,,
挡位个数,5,5,5,6,6,5,5,6,6,6
