Feature,62571,62572,68578,68631,68632,70705
高精地图,-,-,●,-,●,●
高度(mm),1449,1449,1449,1449,1449,1449
高压快充,-,支持,支持,支持,支持,-
高压平台（V）,-,800,800,800,800,-
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),0.197,0.197,0.197,0.197,0.197,0.197
面部识别,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-
长度(mm),4886,4886,4886,4886,4886,4886
长*宽*高(mm),4886*1885*1449,4886*1885*1449,4886*1917*1449,4886*1885*1449,4886*1917*1449,4886*1917*1449
钥匙类型,,,,,,
遥控泊车,-,-,●,-,●,●
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
运动风格座椅,●,●,●,●,●,●
辅助驾驶芯片,-,-,-,-,,
辅助驾驶系统,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),2920,2920,2920,2920,2920,2920
轮圈材质,,,,,,
转向辅助灯,-,-,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载智能系统,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机智能芯片,,,,,,
车型名称,昊铂GT 2023款 600后驱充换版,昊铂GT 2023款 710后驱超充版,昊铂GT 2024款 全球款 710特高压高阶智驾3L版,昊铂GT 2024款 全球款 710特高压智驾版,昊铂GT 2024款 全球款 710特高压激光雷达版,昊铂GT 2024款 630激光雷达版
车前雾灯,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●
车内环境氛围灯,,,,,,
车内摄像头数量,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
语音连续识别,●,●,●,●,●,●
语音识别控制系统,,,,,,
语音助手唤醒词,,,,,,
语音分区域唤醒识别,,,,,,
语音免唤醒词,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
芯片总算力,-,-,-,-,,
自适应远近光,●,●,●,●,●,●
自动驾驶辅助路段,-,-,,-,,
自动驻车,●,●,●,●,●,●
自动泊车入位,-,-,●,-,●,●
自动头灯,●,●,●,●,●,●
自动变道辅助,-,-,●,-,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
第二排座椅功能,-,-,,,,
空调温度控制方式,,,,,,
空气质量监测,●,●,●,●,●,●
离去角(°),14,14,14,14,14,14
百公里耗电量(kWh/100km),12.9,12.7,12.7,12.7,12.7,12.9
疲劳驾驶提示,●,●,●,●,●,●
电芯品牌,,,,,,
电能当量燃料消耗量(L/100km),-,-,1.44,1.44,1.44,1.45
