Feature,66235,66258,66481,66482,66483
高度(mm),1590,1590,1620,1590,1590
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
面部识别,-,●,-,-,-
陡坡缓降,●,●,●,●,●
长度(mm),4540,4540,4540,4540,4540
长*宽*高(mm),4540*1860*1590,4540*1860*1590,4540*1860*1620,4540*1860*1590,4540*1860*1590
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,●,-,-,-
道路救援呼叫,●,●,-,●,●
透明底盘/540度影像,●,●,-,-,●
远程启动功能,,,-,,
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
运动风格座椅,●,●,●,●,●
辅助驾驶等级,,-,-,-,-
轴距(mm),2715,2715,2715,2715,2715
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,-,-,●
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,长安X5 PLUS 2024款 1.5T DCT智领型,长安X5 PLUS 2024款 1.5T DCT智尊型,长安X5 PLUS 2024款 1.5T DCT乐享型,长安X5 PLUS 2024款 1.5T DCT先锋型,长安X5 PLUS 2024款 1.5T DCT卓越型
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-
车内摄像头数量,-,,-,-,-
车内化妆镜,,,-,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
语音识别控制系统,,,-,,
语音免唤醒词,●,●,-,●,●
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,-,-,-
自动驻车,●,●,●,●,●
自动泊车入位,-,●,-,-,-
自动头灯,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),29,29,29,29,29
疲劳驾驶提示,●,●,●,●,●
电动座椅记忆功能,-,-,-,-,-
电动后备厢位置记忆,●,●,-,-,●
电动后备厢,●,●,-,-,●
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
温度分区控制,-,-,-,-,-
液晶仪表尺寸,,,-,,
油箱容积(L),51,51,51,51,51
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
毫米波雷达数量,,-,-,-,-
每缸气门数(个),4,4,4,4,4
最高车速(km/h),205,205,205,205,205
最大马力(Ps),188,188,188,188,188
最大满载质量(kg),1785,1785,1785,1785,1785
最大扭矩转速(rpm),1600-4100,1600-4100,1600-4100,1600-4100,1600-4100
最大扭矩(N·m)_y,300,300,300,300,300
最大扭矩(N·m)_x,300,300,300,300,300
最大功率转速(rpm),5500,5500,5500,5500,5500
最大功率(kW)_y,138,138,138,138,138
最大功率(kW)_x,138,138,138,138,138
最大净功率(kW),134,134,134,134,134
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,,,,,
整备质量(kg),1410,1410,1400,1400,1410
摄像头数量,,,,,
推荐燃油标号,92号,92号,92号,92号,92号
接近角(°),16,16,16,16,16
排量(mL),1494,1494,1494,1494,1494
换挡形式,,,,,
挡位个数,7,7,7,7,7
扬声器数量,,,,,
扬声器品牌名称,,,-,,
手机无线充电功能,,,-,-,
手机互联/映射,,,,,
手机APP远程功能,,,-,,
手势控制,-,●,-,-,-
感应雨刷功能,,,-,-,
循迹倒车,-,●,-,-,-
座椅材质,,,,,
座位数(个),,,,,
并线辅助,-,-,-,-,-
巡航系统,,,,,
导航路况信息显示,●,●,-,●,●
宽度(mm),1860,1860,1860,1860,1860
官方0-100km/h加速(s),7.51,7.51,7.51,7.51,7.51
安全带未系提醒,,,,,
天窗类型,,,,,
大灯高度可调,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
多指飞屏操控,●,●,-,-,●
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外观套件,,,-,,
外后视镜功能,,,,,
备胎规格,,,,,
地图品牌,,,-,,
哨兵模式/千里眼,●,●,-,-,●
后雨刷,●,●,●,●,●
后轮距(mm),1570,1570,1570,1570,1570
后轮胎规格,,,,,
后排独立空调,-,-,-,-,-
后排杯架,-,-,-,-,-
后排座椅放倒形式,,,,,
后悬架类型,,,,,
后座出风口,●,●,-,●,●
后备厢容积(L),-,-,-,-,-
后制动器类型,,,,,
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●
发动机特有技术,可变截面涡轮增压,可变截面涡轮增压,可变截面涡轮增压,可变截面涡轮增压,可变截面涡轮增压
发动机布局,横置,横置,横置,横置,横置
发动机型号,JL473ZQ7,JL473ZQ7,JL473ZQ7,JL473ZQ7,JL473ZQ7
发动机,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4
厂商指导价(元),10.89万,11.09万,9.19万,9.59万,10.39万
厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
卫星导航系统,●,●,-,●,●
助力类型,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-
副座椅调节方式,,,,,
前轮距(mm),1580,1580,1580,1580,1580
前轮胎规格,,,,,
前方碰撞预警,●,-,-,-,-
前排座椅功能,-,-,-,-,-
前悬架类型,,,,,
前制动器类型,,,,,
