Feature,1014577,1014780,1014781,1014782,1014783,1014784,1014785,1014786,1014787,1014788,1014789,1014790,1014791,1014792,1016239,1016535,1016955,1016956,1018695
高度(mm),1875,1865,1865,1875,1865,1865,1865,1875,1875,1865,1865,1865,1865,1865,1875,1875,1865,1865,1875
驾驶辅助影像,,-,-,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
驻车制动类型,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
长度(mm),5350,5600,5600,5600,5600,5600,5600,5350,5350,5600,5600,5350,5600,5600,5350,5350,5350,5350,5350
长*宽*高(mm),5350*1980*1875,5600*1930*1865,5600*1930*1865,5600*1945*1875,5600*1930*1865,5600*1930*1865,5600*1930*1865,5350*1980*1875,5350*1980*1875,5600*1930*1865,5600*1930*1865,5350*1930*1865,5600*1930*1865,5600*1930*1865,5350*2006*1875,5350*2006*1875,5350*1930*1865,5350*1930*1865,5350*1980*1875
钥匙类型,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,●,-,-,-,●,●,-,-,-,-,-,●,●,-,-,●
透明底盘/540度影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
远光灯光源,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,
轴距(mm),3180,3430,3430,3430,3430,3430,3430,3180,3180,3430,3430,3180,3430,3430,3180,3180,3180,3180,3180
轮圈材质,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,-,-,●,-,-,-,●,●,-,-,-,-,-,●,●,○,○,-
车门数(个),,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
车载KTV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安览拓者 2023款 2.0T自动四驱汽油旗舰型标箱,长安览拓者 2023款 2.0T手动两驱汽油时尚型长箱,长安览拓者 2023款 2.0T手动两驱柴油时尚型长箱,长安览拓者 2023款 2.0T手动四驱柴油领航型长箱,长安览拓者 2023款 2.0T手动两驱汽油精英型长箱,长安览拓者 2023款 2.0T手动四驱汽油精英型长箱,长安览拓者 2023款 2.0T自动四驱汽油精英型长箱,长安览拓者 2023款 2.0T自动两驱汽油领航型标箱,长安览拓者 2023款 2.0T自动四驱汽油领航型标箱,长安览拓者 2023款 2.0T手动两驱柴油精英型长箱,长安览拓者 2023款 2.0T手动两驱柴油精英型长箱平箱,长安览拓者 2023款 2.0T手动四驱柴油精英型标箱,长安览拓者 2023款 2.0T手动四驱柴油精英型长箱,长安览拓者 2023款 2.0T手动四驱柴油精英型长箱平箱,长安览拓者 2023款 探索版 2.0T自动四驱汽油穿越型,长安览拓者 2023款 探索版 2.0T自动四驱汽油穿梭型,长安览拓者 2023款 2.0T手动两驱汽油精英型标箱,长安览拓者 2023款 2.0T手动四驱汽油精英型标箱,长安览拓者 2024款 致享版 2.0T自动四驱汽油旗舰型标箱
车前雾灯,,-,-,,-,-,-,,,-,-,-,-,-,-,-,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,-,-,,-,-,-,,,-,-,-,-,-,,,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1600x1595x500,1850x1595x500,1850x1595x500,1850x1595x500,1850x1595x500,1850x1595x500,1850x1595x500,1600x1595x500,1600x1595x500,1850x1595x500,1850x1595x500,1600x1595x500,1850x1595x500,1850x1595x500,1600x1595x540,1600x1595x540,1600x1595x500,1600x1595x500,1600x1595x500
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,-,-,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),225,230,230,230,230,230,230,225,225,230,230,230,230,230,225,225,230,230,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
满载最小离地间隙(mm),200,215,215,215,215,215,215,200,200,215,215,215,215,215,200,200,215,215,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),190,190,165,165,190,190,190,180,190,165,165,165,165,165,190,190,190,190,190
最大马力(Ps),233,233,163,163,233,233,233,233,233,163,163,163,163,163,233,233,233,233,233
最大载重质量(kg),495,495,495,495,495,495,495,495,495,495,495,495,495,495,420,495,495,495,420
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
