Feature,62202,65484
高精地图,○,-
高度(mm),1690,1690
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,,
驱动电机数,单电机,双电机
驱动方式,,
首任车主质保政策,,
风阻系数(Cd),-,-
面部识别,●,●
隐藏电动门把手,●,●
陡坡缓降,●,●
长度(mm),4881,4881
长*宽*高(mm),4881*1960*1690,4881*1960*1690
钥匙类型,,
配气机构,DOHC,DOHC
遥控泊车,●,●
道路救援呼叫,●,●
道路交通标识识别,●,●
透明底盘/540度影像,●,●
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
辅助驾驶等级,,
轴距(mm),2915,2915
轮圈材质,,
车顶行李架,●,●
车门数(个),,
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,魏牌 摩卡新能源 2023款 两驱长续航版,魏牌 摩卡新能源 2024款 Hi4 四驱长续航版
车前雾灯,-,-
车内环境氛围灯,,
车内摄像头数量,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
超声波雷达数量,,
负离子发生器,●,●
语音连续识别,●,●
语音识别控制系统,,
语音助手唤醒词,,
语音分区域唤醒识别,,
语音免唤醒词,●,●
触摸式阅读灯,●,●
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驾驶辅助路段,-,
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,●,●
膝部气囊,,
能量回收系统,●,●
能源类型_y,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中型SUV,中型SUV
系统综合扭矩(N·m),570,760
系统综合功率(kW),291,350
系统综合功率(Ps),396,476
简称,2挡DHT,4挡DHT
第二排座椅调节,,
空载最小离地间隙(mm),180,180
空调温度控制方式,,
空气质量监测,●,●
离去角(°),26,26
疲劳驾驶提示,●,●
电芯品牌,,
电能当量燃料消耗量(L/100km),-,2.27
电池预加热,●,●
电池能量(kWh),34,35.04
电池类型,,
电池慢充电量范围(%)_y,0-100,15-100
电池慢充电量范围(%)_x,0-100,15-100
电池慢充时间(小时)_y,5,6
电池慢充时间(小时)_x,5,6
电池快充电量范围(%)_y,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80
电池快充时间(小时)_y,0.42,0.43
电池快充时间(小时)_x,0.42,0.43
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,前置,前置+后置
电动机总马力(Ps),177,313
电动机总扭矩(N·m),300,520
电动机总功率(kW),130,230
电动机(Ps),177,313
电动座椅记忆功能,,
电动后备厢位置记忆,●,●
电动后备厢,●,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,92号,92号
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),55,55
气缸数(个),4,4
气缸排列形式,L,L
毫米波雷达数量,,
每缸气门数(个),4,4
最高车速(km/h),190,210
最大马力(Ps),156,170
最大满载质量(kg),2545,2660
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,235,245
最大扭矩(N·m)_x,570,760
最大功率转速(rpm),-,-
最大功率(kW)_y,115,125
最大功率(kW)_x,291,350
最大净功率(kW),112,122
最低荷电状态油耗(L/100km),5.55,5.95
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,,
整备质量(kg),2130,2245
摄像头数量,,
接近角(°),19,19
排量(mL),1499,1499
换挡形式,,
挡位个数,2,4
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,,
手机无线充电功率,,
手机互联/映射,-,
手机APP远程功能,,
慢充接口位置,车右后侧,车右后侧
感应雨刷功能,,
快充接口位置,车右后侧,车右后侧
快充功能,支持,支持
快充功率(kW),48,48
循迹倒车,●,●
座椅材质,,
座位数(个),,
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
对外放电最低允许值(%),20,20
对外放电,●,●
对外交流放电功率(kW),3.3,3.3
宽度(mm),1960,1960
官方0-100km/h加速(s),7.3,4.7
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,●,●
多层隔音玻璃,,
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,,
地图品牌,,
四驱形式,-,
后雨刷,●,●
后轮距(mm),1690,1690
后轮胎规格,,
后电动机最大扭矩(N·m),-,350
后电动机最大功率(kW),-,150
后电动机型号,-,TZ220XS008
后方碰撞预警,●,●
后排独立空调,-,-
后排杯架,●,●
后排座椅放倒形式,,
后排侧隐私玻璃,●,●
后悬架类型,,
后座出风口,●,●
后备厢容积(L),-,-
后制动器类型,,
可见即可说,●,●
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
变速箱,2挡DHT,4挡DHT
发动机电子防盗,●,●
发动机特有技术,米勒循环、可变截面涡轮,米勒循环
发动机布局,横置,横置
发动机型号,E15BD,E15BE
发动机,1.5T 156马力 L4,1.5T 170马力 L4
压缩比,11.8,-
厂商指导价(元),23.18万,23.88万
厂商,长城汽车,长城汽车
卫星导航系统,●,●
单踏板模式,●,●
匝道自动驶出(入),○,○
助力类型,,
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),1681,1681
前轮胎规格,,
前电动机最大扭矩(N·m),300,170
前电动机最大功率(kW),130,80
前电动机型号,TZ220XS003,TZ220XH007
前方碰撞预警,●,●
前方感知摄像头,,
前排座椅功能,,
前悬架类型,,
前制动器类型,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内置行车记录仪,●,●
内后视镜功能,,
全液晶仪表盘,●,●
倒车车侧预警系统,●,●
供油方式,直喷,直喷
低速行车警告,●,●
主座椅调节方式,,
主动降噪,●,●
主动刹车/主动安全系统,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
中控下屏幕尺寸,,
上市时间,2023.06,2024.05
上坡辅助,●,●
三电首任车主质保政策,,
Wi-Fi热点,●,●
WLTC综合油耗(L/100km),0.58,0.8
WLTC纯电续航里程(km)_y,175,165
WLTC纯电续航里程(km)_x,175,165
USB/Type-C接口数量,,
OTA升级,●,●
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
HUD抬头数字显示,●,●
ETC装置,●,●
DOW开门预警,●,●
CLTC纯电续航里程(km)_y,215,200
CLTC纯电续航里程(km)_x,215,200
ABS防抱死,●,●
4G/5G网络,,
