Feature,71021,71038,72401,72402,72403
魔毯智能悬架,●,-,-,-,●
高度(mm),1690,1690,1690,1690,1690
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
风阻系数(Cd),0.27,0.27,0.27,0.27,0.27
面部识别,●,●,-,●,●
零重力座椅,,,-,-,
隐藏电动门把手,●,●,●,●,●
陡坡缓降,●,●,●,●,●
防侧翻系统,●,●,●,●,●
长度(mm),4837,4837,4837,4837,4837
长*宽*高(mm),4837*1920*1690,4837*1920*1690,4837*1920*1690,4837*1920*1690,4837*1920*1690
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,●
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压
近光灯光源,,,,,
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
辅助泊车入位,●,●,●,●,●
辅助变道,●,●,●,●,●
轴距(mm),2905,2905,2905,2905,2905
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,-,-,-,-,●
车载智能系统,,,,,
车载KTV,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机系统存储(GB),,,,,
车机系统内存(GB),,,,,
车机智能芯片,,,,,
车外扬声器数量,,,,,
车型名称,长安启源Q07 2025款 高配版,长安启源Q07 2025款 低配版,长安启源Q07 2025款 145智驾豪华型,长安启源Q07 2025款 215智驾尊贵型,长安启源Q07 2025款 215智驾旗舰PLUS
车前雾灯,-,-,-,-,-
车内环境氛围灯,,,-,,
车内摄像头数量,,,-,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
起步提醒,●,●,●,●,●
负离子发生器,-,-,-,-,●
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●
行车电脑显示屏幕,-,-,-,-,-
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
系统综合扭矩(N·m),550,455,455,455,550
系统综合功率(kW),275,237,237,237,275
系统综合功率(Ps),374,322,322,322,374
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,,,,,
第二排座椅电动调节,●,●,-,●,●
第二排座椅功能,,,-,-,
空调温度控制方式,,,,,
离去角(°),23,23,23,23,23
百公里耗电量(kWh/100km),16.8,16.7,15.8,16.7,16.8
疲劳驾驶提示,●,●,-,●,●
电芯品牌,,,,,
电能当量燃料消耗量(L/100km),1.95,1.94,"1,83",1.94,1.95
电池预加热,●,●,●,●,●
电池能量密度(Wh/kg),120,120,109,120,120
电池能量(kWh),31.7,31.7,21.5,31.7,31.7
电池类型,,,,,
电池特有技术,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池
电池慢充时间(小时)_y,4.5,4.5,2.98,4.5,4.5
电池慢充时间(小时)_x,4.5,4.5,2.98,4.5,4.5
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.25,0.25,0.25,0.25,0.25
电池快充时间(小时)_x,0.25,0.25,0.25,0.25,0.25
电池冷却方式,直冷,直冷,直冷,直冷,直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置
电动机总马力(Ps),224,224,224,224,224
电动机总扭矩(N·m),330,330,330,330,330
电动机总功率(kW),165,165,165,165,165
电动机(Ps),224,224,224,224,224
