Feature,71057,71072,72236
高度(mm),1630,1630,1630
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,单电机,单电机
驱动方式,,,
风阻系数(Cd),0.280,0.280,0.280
面部识别,-,-,●
陡坡缓降,●,●,●
长度(mm),4520,4520,4520
长*宽*高(mm),4520*1860*1630,4520*1860*1630,4520*1860*1630
钥匙类型,,,
遥控泊车,●,●,●
道路救援呼叫,-,-,●
道路交通标识识别,●,●,●
远程启动功能,,,
远光灯光源,,,
近光灯光源,,,
辅助驾驶路段,,,
辅助驾驶系统,,,
辅助驾驶等级,,,
辅助泊车入位,●,●,●
辅助变道,●,●,●
辅助匝道自动驶出(入),●,●,●
轴距(mm),2720,2720,2720
轮圈材质,,,
转向辅助灯,●,●,●
车顶行李架,●,-,●
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,-,-,-
车载智能系统,,,
车载冰箱,-,-,●
车载KTV,●,●,●
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,海狮05 EV 2025款 520KM智航版,海狮05 EV 2025款 430KM智航版,海狮05 EV 2025款 520KM旗舰智航版
车前雾灯,-,-,-
车内环境氛围灯,-,-,
车内摄像头数量,-,-,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音连续识别,●,●,●
语音识别控制系统,,,
语音助手唤醒词,,,
语音分区域唤醒识别,,,
行车电脑显示屏幕,,,
行李厢12V电源接口,●,-,●
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,●,●,●
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
