Feature,1011549,1011597,1011598,1011599,1011600,1011601,1011602,1011603,1011604,1011605,1011606,1011607,1014082,1014083,1014084,1014085,1014086,1014087,1014088,1014089,1014090,1014091,1014092,1014093,1015231,1015428,1015429,1015661,1015662,1015663,1015664,1015665,1015666,1015667,1015668,1015669,1015670,1015671,1015672,1015673,1015674,1015679,1015680,1015681,1015682,1015683,1015684,1015685,1015686,1015687,1015688,1015689,1015690,1015691,1015692,1015693,1015694,1015695,1015696,1015697,1015698,1015699,1015700,1015701,1015702,1015703,1015704,1015705,1015706,1015707,1015708,1015709,1015710,1015711,1015712,1015713,1015714,1015715,1015716,1015717,1015718,1015719,1015720,1015721,1016003,1016004,1016005,1016006,1016007
高度(mm),1910,2435,2460,1910,2435,1910,2435,2460,2435,2370,2475,1910,1610,1610,2435,2435,2475,2465,1610,1610,2435,2435,2475,2465,1910,1890,1910,1960,1960,1960,1960,1890,1890,1890,1890,1890,1890,1910,1910,1910,1910,1890,1890,1890,1890,1890,1890,1890,2345,2345,2345,2345,2345,2345,2345,2345,2460,2460,2460,2460,2460,2460,2460,2460,2440,2440,2440,2440,2440,2470,2470,2430,2430,2430,2430,2430,2430,2430,2440,2440,2440,2440,2430,2430,1890,1890,1890,1890,1890
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,-,-,,-,-,-,,-,-,-,-,-,,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,,-,,-,-,,-,-,-,,-,-,-,,-,,-,-,-,-,
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,-,-,-,-,-,-,-,-,-,-,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5175,5175,5250,4890,4875,5175,5175,5250,4875,4950,4950,4890,4890,4890,4890,4890,4635,4965,4890,4890,4890,4890,4635,4965,5175,4630,5175,4890,4890,4890,4890,4630,4630,4630,4630,4630,4630,5175,5175,5175,5175,4875,4875,4875,4875,4875,4875,4875,5000,5000,5000,5000,4760,4760,4760,4760,5000,5000,5000,5000,4730,4730,4730,4730,5270,5270,5270,5270,5270,4970,4970,4890,4890,4890,4630,4630,4630,4630,5175,5175,5175,5175,4875,4875,4630,4630,4630,4630,4630
长*宽*高(mm),5175×1600×1910,5175×1600×2435,5250×1630×2460,4890×1600×1910,4875×1600×2435,5175×1600×1910,5175×1600×2435,5250×1630×2460,4875×1600×2435,4950×1650×2370,4950×1600×2475,4890×1600×1910,4890×1600×1610,4890×1600×1610,4890×1600×2435,4890×1600×2435,4635×1650×2475,4965×1600×2465,4890×1600×1610,4890×1600×1610,4890×1600×2435,4890×1600×2435,4635×1650×2475,4965×1600×2465,5175*1610*1910,4630*1610*1890,5175*1610*1910,4890*1610*1960,4890*1610*1960,4890*1610*1960,4890*1610*1960,4630*1610*1890,4630*1610*1890,4630*1610*1890,4630*1610*1890,4630*1610*1890,4630*1610*1890,5175*1610*1910,5175*1610*1910,5175*1610*1910,5175*1610*1910,4875*1610*1890,4875*1610*1890,4875*1610*1890,4875*1610*1890,4875*1610*1890,4875*1610*1890,4875*1610*1890,5000*1650*2345,5000*1650*2345,5000*1650*2345,5000*1650*2345,4760*1650*2345,4760*1650*2345,4760*1650*2345,4760*1650*2345,5000*1655*2460,5000*1655*2460,5000*1655*2460,5000*1655*2460,4730*1655*2460,4730*1655*2460,4730*1655*2460,4730*1655*2460,5270*1655*2440,5270*1655*2440,5270*1655*2440,5270*1655*2440,5270*1655*2440,4970*1600*2470,4970*1600*2470,4890*1610*2430,4890*1610*2430,4890*1610*2430,4630*1610*2430,4630*1610*2430,4630*1610*2430,4630*1610*2430,5175*1610*2440,5175*1610*2440,5175*1610*2440,5175*1610*2440,4875*1610*2430,4875*1610*2430,4630*1610*1890,4630*1610*1890,4630*1610*1890,4630*1610*1890,4630*1610*1890
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
