Feature,1012294,1012295,1012296,1012297,1019617,1019618,1019620,1019621,1019622,1019623,1019625,1019626,1019627,1019628,1019629,1019630,1019631,1019632,1019634,1019635,1019637
高度(mm),2330,2370,2435,2470,2530,2530,2865,2865,2865,2865,2455,2455,2455,2455,2455,2455,2455,2455,2510,2510,2510
驾驶辅助影像,-,-,-,-,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,,,-,-,,,-,-,,,-,-,,,,,-
驻车制动类型,-,-,-,-,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,●,●,●,-
限滑差速器/差速锁,,,,,,,,,,,,,,,,,,,,,
长度(mm),5900,5905,4855,5995,5140,5140,5985,5985,5985,5985,5960,5960,5960,5960,5960,5960,5960,5960,5830,5830,6575
长*宽*高(mm),5900×2000×2330,5905×2000×2370,4855×2080×2435,5995×2080×2470,5140*2090*2530,5140*2090*2530,5985*2090*2865,5985*2090*2865,5985*2090*2865,5985*2090*2865,5960*2090*2455,5960*2090*2455,5960*2090*2455,5960*2090*2455,5960*2090*2455,5960*2090*2455,5960*2090*2455,5960*2090*2455,5830*2090*2510,5830*2090*2510,6575*2090*2510
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3310,3310,2800,3310,3065,3065,3365,3365,3365,3365,3365,3365,3365,3365,3365,3365,3365,3365,3780,3780,3780
轮圈材质,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,
