Feature,61039,61040,61041
高精地图,●,●,●
高度(mm),1721,1721,1721
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,双电机,双电机
驱动方式,,,
风阻系数(Cd),0.26,0.26,0.26
隐藏电动门把手,●,●,●
陡坡缓降,●,●,●
长度(mm),5137,5137,5137
长*宽*高(mm),5137*1965*1721,5137*1965*1721,5137*1965*1721
钥匙类型,,,
遥控泊车,-,-,○
道路救援呼叫,●,●,●
道路交通标识识别,●,●,●
远程启动功能,,,
远光灯光源,,,
近光灯光源,,,
运动外观套件,-,●,●
辅助驾驶等级,,,
轴距(mm),3210,3210,3210
轮圈材质,,,
转向头灯,●,●,●
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,●,●,●
车载智能系统,,,
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,奔驰EQS SUV 2023款 450+,奔驰EQS SUV 2023款 450 4MATIC 先锋版,奔驰EQS SUV 2023款 450 4MATIC 豪华版
车前雾灯,-,-,-
车内香氛装置,-,-,○
车内环境氛围灯,,,
车内摄像头数量,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
负离子发生器,-,-,○
语音识别控制系统,,,
触摸式阅读灯,●,●,●
被动行人保护,●,●,●
行车电脑显示屏幕,,,
行李厢12V电源接口,●,●,●
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,●,●,●
自动泊车入位,●,●,●
自动头灯,●,●,●
自动变道辅助,●,●,●
膝部气囊,●,●,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,大型SUV,大型SUV,大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,
第二排座椅电动调节,●,●,●
第二排座椅功能,,,
空调温度控制方式,,,
空气悬架,●,●,●
离去角(°),19.6,19.6,19.6
百公里耗电量(kWh/100km),16.2,17.9,17.9
疲劳驾驶提示,●,●,●
电芯品牌,,,
电能当量燃料消耗量(L/100km),1.83,2.02,2.02
电池预加热,●,●,●
电池能量(kWh),111.8,111.8,111.8
电池类型,,,
电池慢充时间(小时)_y,16,16,16
电池慢充时间(小时)_x,16,16,16
电池快充电量范围(%)_y,80,80,80
电池快充电量范围(%)_x,80,80,80
电池快充时间(小时)_y,0.62,0.62,0.62
电池快充时间(小时)_x,0.62,0.62,0.62
电池冷却方式,液冷,液冷,液冷
