Feature,60390,60391,60395,63567,64233
高度(mm),1867,1867,1867,1867,1864
驾驶辅助影像,,,,,
驾驶模式切换,-,-,-,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-
陡坡缓降,●,●,●,●,●
长度(mm),5230,5230,5230,5230,5230
长*宽*高(mm),5230*1980*1867,5230*1980*1867,5230*1980*1867,5230*1980*1867,5230*1980*1864
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,-
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
轴距(mm),3130,3130,3130,3130,3130
轮圈材质,,,,,
车门数(个),5,5,5,5,5
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,●,●,●,●,-
车载电视,●,-,-,-,-
车载智能系统,,,,,
车载冰箱,●,●,●,●,●
车身结构_y,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门4座MPV,5门6座MPV,5门4座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机智能芯片,,,,,
车型名称,世纪 2023款 2.0T 四座私享版,世纪 2023款 2.0T 六座蕴世版,世纪 2023款 2.0T 四座逸世版,世纪 2023款 2.0T 七座蕴世版,世纪 2023款 2.0T 七座臻享款
车前雾灯,-,-,-,-,-
车内香氛装置,●,-,-,-,-
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
负离子发生器,●,●,●,●,-
