Feature,63737,67931,67988,67989,67990
高度(mm),1625,1625,1625,1625,1625
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
首任车主质保政策,,,,,
风阻系数(Cd),-,-,-,-,-
隐藏电动门把手,●,●,●,●,●
陡坡缓降,●,●,●,●,●
防侧翻系统,●,●,●,●,●
长度(mm),4685,4685,4685,4685,4685
长*宽*高(mm),4685*1900*1625,4685*1900*1625,4685*1900*1625,4685*1900*1625,4685*1900*1625
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,-,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
运动风格座椅,●,●,●,●,●
辅助驾驶等级,,,-,,
轴距(mm),2775,2775,2775,2775,2775
轮圈材质,,,,,
车顶行李架,●,●,●,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,-,●,●
车道保持辅助系统,●,●,-,●,●
车载空气净化器,-,-,-,-,-
车载智能系统,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机智能芯片,,,,,
车型名称,风神L7新能源 2024款 205 Plus,风神L7新能源 2024款 110 Pro,风神L7新能源 2024款 205 Air,风神L7新能源 2024款 205 Pro,风神L7新能源 2024款 205 Max 定制版
车前雾灯,-,-,-,-,-
车内香氛装置,●,●,●,●,●
车内环境氛围灯,,-,-,-,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,-,●,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),615,615,615,615,615
系统综合功率(kW),265,265,265,265,265
系统综合功率(Ps),360,360,360,360,360
简称,4挡DHT,4挡DHT,4挡DHT,4挡DHT,4挡DHT
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),25,25,25,25,25
百公里耗电量(kWh/100km),17.5,15.2,17.5,17.5,17.5
疲劳驾驶提示,-,-,-,-,-
电芯品牌,,,,,
电能当量燃料消耗量(L/100km),1.98,1.72,1.98,1.98,1.98
电池预加热,●,●,●,●,●
电池能量(kWh),30.3,17.0,30.3,30.3,30.3
电池类型,,,,,
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.43,0.43,0.43,0.43,0.43
电池快充时间(小时)_x,0.43,0.43,0.43,0.43,0.43
电池冷却方式,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置
电子外后视镜功能,-,-,-,-,
电动机总马力(Ps),136,136,136,136,136
电动机总扭矩(N·m),260,260,260,260,260
电动机总功率(kW),100,100,100,100,100
电动机(Ps),136,136,136,136,136
电动座椅记忆功能,,,-,-,
电动后备厢位置记忆,○,○,-,-,●
电动后备厢,○,○,-,-,●
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-
液晶仪表尺寸,,,,,
油箱容积(L),55,55,55,55,55
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
毫米波雷达数量,,-,-,-,
每缸气门数(个),4,4,4,4,4
最高车速(km/h),170,170,170,170,170
最大马力(Ps),154,154,154,154,154
最大满载质量(kg),2194,2121,2194,2194,2194
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500,3500-4500
最大扭矩(N·m)_y,240,240,240,240,240
最大扭矩(N·m)_x,615,615,615,615,615
最大功率转速(rpm),5200,5200,5200,5200,5200
最大功率(kW)_y,113,113,113,113,113
最大功率(kW)_x,265,265,265,265,265
最大净功率(kW),110,110,110,110,110
最低荷电状态油耗(L/100km)WLTC,4.81,4.81,4.81,4.81,4.81
最低荷电状态油耗(L/100km)NEDC,3.8,3.8,3.8,3.8,3.8
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,-,-,-,-,-
整备质量(kg),1800,1725,1800,1800,1800
摄像头数量,,,,,
接近角(°),18,18,18,18,18
排量(mL),1497,1497,1497,1497,1497
换挡形式,,,,,
挡位个数,4,4,4,4,4
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,,-,-,-,
手机无线充电功率,,-,-,-,
手机互联/映射,-,-,-,-,-
手机APP远程功能,,,,,
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,-,-,-,-,-
快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持,支持
座椅材质,,,,,
座位数(个),,,,,
应用商店,●,●,●,●,●
并线辅助,●,-,-,-,●
巡航系统,,,,,
导航路况信息显示,●,●,●,●,●
对外放电,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3
宽度(mm),1900,1900,1900,1900,1900
官方0-100km/h加速(s),6.9,6.9,6.9,6.9,6.9
安全带未系提醒,,,,,
天窗类型,,,,,
大灯高度可调,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外后视镜功能,,,,,-
备胎规格,,,,,
地图品牌,,,,,
后雨刷,-,-,-,-,-
后轮距(mm),1605,1605,1605,1605,1605
后轮胎规格,,,,,
后排独立空调,-,-,-,-,-
后排杯架,●,-,-,-,●
后排座椅放倒形式,,,,,
后悬架类型,,,,,
后座出风口,●,●,●,●,●
后备厢容积(L),-,-,-,-,-
后制动器类型,,,,,
可见即可说,●,●,●,●,●
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
变速箱,4挡DHT,4挡DHT,4挡DHT,4挡DHT,4挡DHT
发动机电子防盗,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置
发动机型号,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3
发动机,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4,1.5T 154马力 L4
厂商指导价(元),14.99万,12.89万,13.69万,14.19万,15.69万
厂商,东风乘用车,东风乘用车,东风乘用车,东风乘用车,东风乘用车
卫星导航系统,●,●,●,●,●
助力类型,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-
副座椅调节方式,,,,,
前轮距(mm),1605,1605,1605,1605,1605
前轮胎规格,,,,,
前电动机最大扭矩(N·m),260,260,260,260,260
前电动机最大功率(kW),100,100,100,100,100
前电动机型号,TZ220XY003,TZ220XY003,TZ220XY003,TZ220XY003,TZ220XY003
前方碰撞预警,●,●,-,●,●
前方感知摄像头像素,,,-,,
前方感知摄像头,,,-,,
前排座椅功能,,-,-,-,
前悬架类型,,,,,
前制动器类型,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●
内后视镜功能,,,,,
全液晶仪表盘,●,●,●,●,●
倒车车侧预警系统,○,-,-,-,●
供油方式,直喷,直喷,直喷,直喷,直喷
低速行车警告,●,●,●,●,●
主座椅调节方式,,,,,
主动刹车/主动安全系统,●,●,-,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,
中控屏幕尺寸,,,,,
