Feature,1000370,1000371,1000372,1000373,1000374
高度(mm),1690,1690,1690,1690,1690
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-
长度(mm),5145,5145,5145,5420,5420
长*宽*高(mm),5145×1725×1690,5145×1725×1690,5145×1725×1690,5420×1725×1690,5420×1725×1690
配气机构,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-
进气形式,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
轴距(mm),3025,3025,3025,3380,3380
转向辅助灯,-,-,-,-,-
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),4,4,4,4,4
车载电视,-,-,-,-,-
车载冰箱,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车窗防夹手功能,-,-,-,-,-
车型名称,傲骏 2009款 2.4T标准型短轴版,傲骏 2009款 2.2L豪华型短轴版,傲骏 2009款 2.4T豪华型短轴版,傲骏 2009款 2.2L豪华型加长版,傲骏 2009款 2.4T豪华型加长版
车内中控锁,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1480x1470x440,1480x1470x440,1480x1470x440,1715x1455x475,1715x1455x475
行程(mm),-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,-,-,-,-,-
膝部气囊,-,-,-,-,-
能源类型,柴油,汽油,柴油,汽油,柴油
缺气保用轮胎,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
空气悬架,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准_y,国III,国IV,国III,国IV,国III
环保标准_x,国III,国IV,国III,国IV,国III
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-
燃油标号,0号,92号,0号,92号,0号
燃料形式,柴油,汽油,柴油,汽油,柴油
温度分区控制,-,-,-,-,-
油箱容积(L),-,-,-,-,-
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
