Feature,1012163,1013451,1013452,1014252,1014253,1014254,1014779,1014794,1014795,1014796,1015425,1015426,1015427,1015434,1015435,1015436,1015556,1015557,1015558,1015559,1015560,1015561,1015562,1015563,1015564
高度(mm),2060,2670,2660,2720,2060,2660,2150,2730,2460,2735,2670,2060,2660,2670,2660,2110,2720,2670,2060,2060,2660,2660,2735,2150,2460
驾驶辅助影像,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5760,5760,5760,5845,5845,5845,5995,5995,5995,5995,5760,5760,5845,5600,5590,5600,5845,5760,5845,5760,5845,5845,5995,5995,5995
长*宽*高(mm),5760×1850×2060,5760×1800×2670,5760×1850×2660,5845×1800×2720,5845×1850×2060,5845×1850×2660,5995*1850*2150,5995*1810*2730,5995*1850*2460,5995*1810*2735,5760×1800×2670,5760×1850×2060,5845×1850×2660,5600*1860*2670,5590*1830*2660,5600*1830*2110,5845×1800×2720,5760*1850*2670,5845×1850×2060,5760×1850×2060,5845×1850×2660,5845×1850×2660,5995*1810*2735,5995*1850*2150,5995*1850*2460
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3600,3600,3600,3600,3600,3600,3150,3150,3150,3150,3600,3600,3600,2850,2850,2850,3600,3600,3600,3600,3600,3600,3150,3150,3150
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门,平开门,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,远程锋锐 2022款 F3E栏板车亿纬61.8kWh,远程锋锐 2022款 F3E厢式车亿纬61.8kWh,远程锋锐 2022款 F3E仓栅车亿纬61.8kWh,远程锋锐 2022款 F3E厢式车宁德55.7kWh,远程锋锐 2022款 F3E栏板车宁德55.7kWh,远程锋锐 2022款 F3E仓栅车宁德55.7kWh,远程锋锐 2022款 V5E栏板车宁德66.8kWh,远程锋锐 2022款 V5E冷藏车宁德66.8kWh,远程锋锐 2022款 V5E仓栅车宁德66.8kWh,远程锋锐 2022款 V5E厢式车宁德66.8kWh,远程锋锐 2022款 F3E厢式车国轩57.6kWh,远程锋锐 2022款 F3E栏板车国轩57.6kWh,远程锋锐 2022款 F3E仓栅车国轩57.6kWh,远程锋锐 2022款 E200S冷藏车宁德66.8kWh,远程锋锐 2022款 E200S厢式车宁德66.8kWh,远程锋锐 2022款 E200S栏板车宁德66.8kWh,远程锋锐 2023款 F3E厢式车宁德55.7kWh,远程锋锐 2023款 F3E厢式车国轩57.6kWh,远程锋锐 2023款 F3E栏板车宁德55.7kWh,远程锋锐 2023款 F3E栏板车国轩57.6kWh,远程锋锐 2023款 F3E仓栅车宁德55.7kWh,远程锋锐 2023款 F3E仓栅车国轩57.6kWh,远程锋锐 2023款 V5E厢式车宁德66.84kWh,远程锋锐 2023款 V5E栏板车宁德66.84kWh,远程锋锐 2023款 V5E仓栅车宁德66.84kWh
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3700x1750x360,3700x1750x1700,3700x1750x360,3700x1750x1700,3700x1750x360,3700x1750x360,3980x1750x360,3820x1650x1650,3980x1750x1495,3950x1850x1750,3700x1750x1700,3700x1750x360,3700x1750x360,-,-,-,3700x1750x1700,3700x1750x1700,3700x1750x360,3700x1750x360,3700x1750x360,3700x1750x360,3950x1750x1750,3980x1750x360,3980x1750x1495
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,○,○,○,○,-,-,-,○,○,○,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
