Feature,57588,58703,58704,60622,62193,62194,65177,65178,65179,65180,65181
高度(mm),1665,1665,1665,1665,1669,1669,1665,1665,1665,1669,1669
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,●,●,-,-,-,●,●
长度(mm),4593,4593,4592,4593,4592,4592,4593,4593,4592,4592,4592
长*宽*高(mm),4593*1860*1665,4593*1860*1665,4592*1860*1665,4593*1860*1665,4592*1860*1669,4592*1860*1669,4593*1860*1665,4593*1860*1665,4592*1860*1665,4592*1860*1669,4592*1860*1669
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
运动外观套件,-,-,●,-,●,●,-,-,●,●,●
辅助驾驶系统,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,
轴距(mm),2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731
轮圈材质,,,,,,,,,,,
转向头灯,-,-,●,-,●,●,-,-,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,探岳 2023款 330TSI 两驱豪华Plus进阶版,探岳 2023款 280TSI 两驱豪华Plus进阶版,探岳 2023款 330TSI 两驱R-Line高能版,探岳 2023款 300TSI 两驱豪华Plus进阶版,探岳 2023款 改款 380TSI 四驱R-Line高能版,探岳 2023款 改款 380TSI 四驱R-Line Pro智慧版,探岳 2024款 300TSI 两驱豪华Plus进阶版,探岳 2024款 330TSI 两驱豪华Plus进阶版,探岳 2024款 330TSI 两驱R-Line高能版,探岳 2024款 380TSI 四驱R-Line高能版,探岳 2024款 380TSI 四驱R-Line Pro智慧版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,●,-,●,●,-,-,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,●,-,-,-,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铝合金,铸铁,铝合金,铸铁,铸铁,铝合金,铸铁,铸铁,铸铁,铸铁
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,
离去角(°),19,19,19,18,19,19,18,19,19,19,19
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,,,,,,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,,-,,,-,-,,,
温度分区控制,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,
油箱容积(L),60,60,60,60,63,63,60,60,60,63,63
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),200,200,200,200,200,200,200,200,200,200,200
最大马力(Ps),186,150,186,160,220,220,160,186,186,220,220
最大满载质量(kg),2160,2100,2160,2110,2250,2250,2110,2160,2160,2250,2250
最大扭矩转速(rpm),1600-4050,1750-3000,1600-4050,1750-4000,1600-4300,1600-4300,1750-4000,1600-4050,1600-4050,1600-4300,1600-4300
最大扭矩(N·m)_y,320,250,320,250,350,350,250,320,320,350,350
最大扭矩(N·m)_x,320,250,320,250,350,350,250,320,320,350,350
最大功率转速(rpm),4150-6000,5000-6000,4150-6000,5500,4900-6700,4900-6700,5500,4150-6000,4150-6000,4900-6700,4900-6700
最大功率(kW)_y,137,110,137,118,162,162,118,137,137,162,162
最大功率(kW)_x,137,110,137,118,162,162,118,137,137,162,162
最大净功率(kW),137,110,137,118,162,162,118,137,137,162,162
无钥匙进入功能,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘离手检测,-,-,-,-,-,-,●,●,●,●,●
方向盘材质,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,●,-,-,-,-,●
方向盘加热,●,●,●,●,●,●,●,●,●,●,●
方向盘位置调节,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1679,1616,1679,1632,1767,1781,1632,1679,1679,1767,1781
接近角(°),19,19,19,20,19,19,20,19,19,19,19
排量(mL),1984,1395,1984,1498,1984,1984,1498,1984,1984,1984,1984
换挡形式,,,,,,,,,,,
挡位个数,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,
扬声器品牌名称,-,-,,-,,,-,-,,,
手机无线充电功能,,,,,,,,,,,
手机无线充电功率,-,-,-,-,-,-,,,,,
手机互联/映射,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,
感应雨刷功能,,,,,,,,,,,
感应后备厢,●,●,●,●,●,●,○,●,●,●,●
座椅材质,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,○,-,○,●,-,-,○,○,●
巡航系统,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
官方0-100km/h加速(s),9.3,10.6,9.3,9.6,7.5,7.5,9.6,9.3,9.3,7.5,7.5
安全带未系提醒,,,,,,,,,,,
天窗类型,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,-,-,适时四驱,适时四驱,-,-,-,适时四驱,适时四驱
后雨刷,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576
后轮胎规格,235/55 R18,235/55 R18,235/50 R19,235/55 R18,235/50 R19,235/45 R20,235/55 R18,235/55 R18,235/50 R19,235/50 R19,235/45 R20
后排独立空调,●,●,●,●,●,●,●,●,●,●,●
后排杯架,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),506,506,506,506,506,506,506,506,506,506,506
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,米勒循环,-,-,米勒循环,-,-,-,-
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,EA888-DTH,EA211-DJS,EA888-DTH,EA211-DSV,EA888-DTJ,EA888-DTJ,EA211-DSV,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●
发动机,2.0T 186马力 L4,1.4T 150马力 L4,2.0T 186马力 L4,1.5T 160马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
厂商指导价(元),21.79万,20.49万,22.99万,20.79万,24.79万,25.99万,20.79万,21.79万,22.99万,24.79万,25.99万
